|                                                    name |         ra_h |         dec_d | WEBDA | OPENCLUST | Camargo | MWSC |   N_d |    dist_pc |      lon_d |      lat_d |       x_pc |       y_pc |       z_pc |
|                                      FSR 1183, FSR 1183 |   7h13m21.5s |     -9d52m54s |    -- |       641 |      -- | 1455 |     2 |    1634.00 |   224.2139 |     0.3140 |   -9471.06 |   -1139.43 |      39.76 |
|                                                FSR 1076 |     7h13m26s |      3d08m54s |    -- |        -- |      -- | 1664 |     1 |    1031.00 |   212.6293 |     6.3267 |   -9162.58 |    -552.53 |     143.42 |
|                                           Collinder 132 |     7h13m26s |    -30d58m30s |    -- |        -- |      -- |  994 |     1 |     330.00 |   243.0713 |    -9.2973 |   -8447.62 |    -290.35 |     -25.83 |
|                            NGC 2351, NGC 2351, NGC 2351 |   7h13m31.5s |    -10d29m00s |  1094 |       642 |      -- | 1442 |     3 |    2574.33 |   224.7659 |     0.0712 |  -10127.69 |   -1812.87 |      36.14 |
|                            NGC 2354, NGC 2354, NGC 2354 |   7h14m09.5s |    -25d41m30s |  1097 |       643 |      -- | 1134 |     3 |    2900.00 |   238.3690 |    -6.7942 |   -9811.28 |   -2451.84 |    -311.17 |
|                                      FSR 1153, FSR 1153 |     7h14m22s |     -5d39m55s |    -- |       644 |      -- | 1524 |     2 |    3095.00 |   220.5924 |     2.4899 |  -10647.50 |   -2011.93 |     169.09 |
|                                                FSR 1326 |     7h14m28s |    -34d18m18s |    -- |        -- |      -- |  916 |     1 |    1298.00 |   246.2078 |   -10.5588 |   -8815.50 |   -1167.58 |    -209.18 |
|                            NGC 2353, NGC 2353, NGC 2353 |     7h14m30s |    -10d15m30s |  1096 |       645 |      -- | 1450 |     3 |    1156.33 |   224.6780 |     0.3880 |   -9122.14 |    -813.02 |      37.50 |
|                               ASCC 36, ASCC 36, ASCC 36 |   7h14m30.5s |    -21d07m18s |    89 |       646 |      -- | 1218 |     3 |     771.00 |   234.3178 |    -4.6394 |   -8748.40 |    -624.20 |     -33.90 |
|                                                FSR 1332 |     7h14m49s |    -34d52m36s |    -- |        -- |      -- |  901 |     1 |    2173.00 |   246.7636 |   -10.7419 |   -9143.55 |   -1961.75 |    -375.28 |
|                   Ruprecht 14, Ruprecht 14, Ruprecht 14 |   7h14m53.5s |    -31d21m48s |  1521 |       647 |      -- |  986 |     3 |    2682.00 |   243.5638 |    -9.1888 |   -9480.05 |   -2370.73 |    -397.45 |
|                            Collinder 132, Collinder 132 |     7h15m20s |    -30d41m00s |   363 |       648 |      -- |   -- |     2 |     472.00 |   242.9893 |    -8.8024 |   -8512.03 |    -415.56 |     -44.54 |
|                                               MWSC 5672 |     7h15m20s |    -78d26m24s |    -- |        -- |      -- |   22 |     1 |    1288.00 |   290.1909 |   -25.3517 |   -7900.01 |   -1092.43 |    -525.79 |
|                                                FSR 1180 |     7h15m41s |     -9d24m36s |    -- |        -- |      -- | 1461 |     1 |    1000.00 |   224.0624 |     1.0405 |   -9018.36 |    -695.33 |      47.49 |
|                   Berkeley 36, Berkeley 36, Berkeley 36 |   7h16m17.5s | -13d09m44.75s |   211 |       649 |      -- | 1383 |     3 |    5773.67 |   227.4526 |    -0.5752 |  -12204.08 |   -4253.35 |     -18.27 |
|                            Alessi 3, Alessi 3, Alessi 3 |     7h16m18s |  -46d37m55.5s |    13 |       650 |      -- |  664 |     3 |     295.67 |   257.8580 |   -15.3856 |   -8360.17 |    -278.69 |     -51.25 |
|                                      NGC 2358, NGC 2358 |   7h16m55.5s |  -17d07m59.5s |  1099 |       651 |      -- |   -- |     2 |     630.00 |   231.0389 |    -2.2892 |   -8695.86 |    -489.48 |       3.12 |
|                            NGC 2355, NGC 2355, NGC 2355 |     7h16m59s |     13d45m00s |  1098 |       652 |      -- | 1821 |     3 |    2092.33 |   203.3896 |    11.8025 |  -10178.35 |    -813.06 |     461.07 |
|                      ESO 367-10, ESO 367 10, ESO 367-10 |   7h17m03.5s |    -35d17m06s |   649 |       653 |      -- |  893 |     3 |    2018.00 |   247.3408 |   -10.5067 |   -9065.55 |   -1831.01 |    -338.50 |
|                         Basel 11a, Basel 11a, Basel 11A |   7h17m06.5s |    -13d58m27s |   165 |       654 |      -- | 1361 |     3 |    1525.67 |   228.2633 |    -0.7781 |   -9315.57 |   -1138.37 |       9.58 |
|                                                FSR 1228 |     7h17m11s |    -15d47m42s |    -- |        -- |      -- | 1326 |     1 |    4186.00 |   229.8828 |    -1.6112 |  -10996.52 |   -3199.88 |     -81.93 |
|             Collinder 135, Collinder 135, Collinder 135 |   7h17m36.5s |    -36d55m33s |   364 |       655 |      -- |  851 |     3 |     331.00 |   248.8940 |   -11.1209 |   -8417.12 |    -303.00 |     -36.46 |
|                            NGC 2360, NGC 2360, NGC 2360 |   7h17m42.5s |    -15d38m27s |  1100 |       656 |      -- | 1329 |     3 |    1522.33 |   229.8054 |    -1.4275 |   -9282.26 |   -1162.48 |      -7.73 |
|                                    Haffner 5, Haffner 5 |     7h18m00s |    -22d40m00s |   731 |        -- |      -- | 1188 |     2 |    1034.50 |   236.0679 |    -4.6319 |   -8875.81 |    -855.52 |     -54.67 |
|                                                FSR 1306 |     7h18m02s |    -28d59m24s |    -- |        -- |      -- | 1060 |     1 |    3066.00 |   241.7259 |    -7.5193 |   -9741.10 |   -2676.98 |    -369.54 |
|                               ASCC 37, ASCC 37, ASCC 37 |  7h18m03.75s | -24d29m23.75s |    90 |       657 |      -- | 1156 |     3 |    1590.33 |   237.6989 |    -5.4595 |   -9146.41 |   -1338.13 |    -121.56 |
|                                  ESO 559-02, ESO 559 02 |     7h18m05s |    -18d35m42s |   702 |       658 |      -- |   -- |     2 |        nan |   232.4624 |    -2.7256 |        nan |        nan |        nan |
|                                                FSR 1377 |     7h18m18s |    -44d40m12s |    -- |        -- |      -- |  708 |     1 |    4640.00 |   256.1472 |   -14.2736 |   -9380.33 |   -4365.97 |   -1113.50 |
|                                                Saurer 1 |     7h18m18s |      1d53m12s |  1651 |        -- |      -- |   -- |     1 |   13200.00 |   214.3166 |     6.8362 |  -19119.63 |   -7388.79 |    1633.38 |
|                                  Teutsch 49, Teutsch 49 |     7h18m27s |  -17d35m38.5s |    -- |       659 |      -- | 1293 |     2 |    3604.50 |   231.6166 |    -2.1819 |  -10536.88 |   -2823.42 |    -102.96 |
|                                              Majaess 86 |     7h18m31s |    -18d22m15s |    -- |       660 |      -- |   -- |     1 |        nan |   232.3117 |    -2.5302 |        nan |        nan |        nan |
|                            NGC 2362, NGC 2362, NGC 2362 |     7h18m42s |    -24d57m27s |  1101 |       661 |      -- | 1144 |     3 |    1414.67 |   238.1829 |    -5.5460 |   -9042.73 |   -1196.46 |    -107.31 |
|                                          Bica 4, Bica 4 |     7h19m07s |    -22d01m26s |    -- |       662 |      -- | 1201 |     2 |    3930.00 |   235.6164 |    -4.1054 |  -10514.56 |   -3235.01 |    -247.16 |
|                   Ruprecht 15, Ruprecht 15, Ruprecht 15 |   7h19m32.5s |    -19d37m54s |  1532 |       663 |      -- | 1253 |     3 |    1926.00 |   233.5414 |    -2.9041 |   -9443.31 |   -1547.07 |     -66.86 |
|                 Haffner 6, Haffner 6, CBB 16, Haffner 6 |   7h19m41.5s |  -13d09m40.5s |   732 |       665 |      60 | 1384 |     4 |    3419.50 |   227.8385 |     0.1571 |  -10595.15 |   -2534.71 |      43.83 |
|                                                FSR 1284 |     7h19m59s |    -24d31m48s |    -- |        -- |      -- | 1154 |     1 |    1935.00 |   237.9369 |    -5.0903 |   -9323.66 |   -1633.38 |    -141.36 |
|                            NGC 2367, NGC 2367, NGC 2367 |   7h20m09.5s |    -21d52m24s |  1103 |       664 |      -- | 1205 |     3 |    1725.33 |   235.5953 |    -3.8215 |   -9273.03 |   -1420.35 |     -84.83 |
|                                                 DBSB 12 |     7h20m13s |    -27d46m18s |    -- |        -- |      -- | 1091 |     1 |    3497.00 |   240.8535 |    -6.5368 |   -9993.36 |   -3034.34 |    -365.60 |
|                   Berkeley 37, Berkeley 37, Berkeley 37 |   7h20m21.5s |     -1d02m48s |   212 |       666 |      -- | 1590 |     3 |    4873.33 |   217.1777 |     5.9500 |  -12160.28 |   -2929.03 |     544.73 |
|                                      NGC 2364, NGC 2364 |     7h20m46s |     -7d33m00s |  1102 |       667 |      -- |   -- |     2 |     959.50 |   223.0029 |     3.0200 |   -9000.51 |    -653.50 |      79.83 |
|                                                FSR 1118 |     7h20m51s |     -0d50m36s |    -- |        -- |      -- | 1595 |     1 |    2089.00 |   217.0530 |     6.1527 |   -9956.80 |   -1251.48 |     256.28 |
|                                      FSR 1255, FSR 1255 |     7h20m52s |  -19d38m22.5s |    -- |       668 |      -- | 1252 |     2 |    1023.00 |   233.6944 |    -2.6320 |   -8905.18 |    -823.54 |     -18.01 |
|                                      Saurer 1, Saurer 1 |     7h20m56s |    1d48m14.5s |    -- |       669 |      -- | 1645 |     2 |   13459.50 |   214.6929 |     7.3842 |  -19269.09 |   -7597.31 |    1792.51 |
|                                  Juchert 12, Juchert 12 |     7h20m57s |    -22d52m00s |   804 |       670 |      -- |   -- |     2 |    1064.00 |   236.5619 |    -4.1222 |   -8884.99 |    -885.59 |     -47.58 |
|                                      NGC 2368, NGC 2368 |   7h21m05.5s |    -10d21m12s |  1104 |        -- |      -- | 1446 |     2 |    2444.50 |   225.5193 |     1.7773 |  -10011.66 |   -1743.28 |     108.38 |
|                                                FSR 1258 |     7h21m16s |    -20d13m12s |    -- |        -- |      -- | 1234 |     1 |    2928.00 |   234.2519 |    -2.8207 |  -10008.95 |   -2373.46 |    -111.54 |
|                   Berkeley 77, Berkeley 77, Berkeley 77 |     7h21m27s |   -3d14m00.5s |   250 |       671 |      -- | 1569 |     3 |    4653.00 |   219.2528 |     5.1814 |  -11886.96 |   -2932.12 |     458.87 |
|                               King 23, King 23, King 23 |  7h21m47.25s |   -0d59m01.5s |   824 |       672 |      -- | 1591 |     3 |    3145.67 |   217.2870 |     6.2961 |  -10786.46 |   -1894.17 |     380.06 |
|                                       FSR 944, FSR 0944 |   7h21m48.5s |     22d29m55s |    -- |        -- |      37 | 1950 |     2 |    3577.50 |   195.6511 |    16.4471 |  -11600.54 |    -925.64 |    1050.63 |
|                                                   Wit 3 |     7h22m02s |     -8d58m46s |    -- |       673 |      -- |   -- |     1 |        nan |   224.4143 |     2.6272 |        nan |        nan |        nan |
|                                                FSR 1083 |     7h22m03s |      3d34m48s |    -- |        -- |      -- | 1669 |     1 |    1775.00 |   213.2235 |     8.4395 |   -9767.88 |    -962.00 |     292.28 |
|                                                FSR 1252 |     7h22m34s |    -18d42m00s |    -- |        -- |      -- | 1273 |     1 |    1899.00 |   233.0529 |    -1.8364 |   -9441.01 |   -1516.88 |     -30.15 |
|                                                FSR 1157 |     7h22m37s |     -5d06m54s |    -- |        -- |      -- | 1532 |     1 |     926.00 |   221.0603 |     4.5638 |   -8995.72 |    -606.32 |     102.94 |
|                                                FSR 1470 |     7h22m48s |    -59d11m54s |    -- |        -- |      -- |  336 |     1 |    1055.00 |   270.4330 |   -19.2382 |   -8293.56 |    -996.06 |    -320.64 |
|                         Haffner 7, Haffner 7, Haffner 7 |   7h22m55.5s |    -29d29m42s |   733 |       674 |      -- | 1037 |     3 |    3631.00 |   242.6696 |    -6.8003 |   -9956.69 |   -3202.99 |    -397.57 |
|                   Ruprecht 16, Ruprecht 16, Ruprecht 16 |  7h23m10.75s | -19d27m58.25s |  1543 |       675 |      -- | 1254 |     3 |    1287.00 |   233.7973 |    -2.0696 |   -9059.77 |   -1037.84 |     -17.01 |
|                         Haffner 8, Haffner 8, Haffner 8 |     7h23m17s |    -12d19m15s |   734 |       676 |      -- | 1398 |     3 |    1586.33 |   227.5088 |     1.3253 |   -9371.08 |   -1169.42 |      67.17 |
|                                                FSR 1440 |     7h23m37s |    -53d56m48s |    -- |        -- |      -- |  495 |     1 |    1631.00 |   265.3456 |   -17.1783 |   -8427.97 |   -1553.10 |    -454.30 |
|                   Ruprecht 17, Ruprecht 17, Ruprecht 17 |     7h23m37s |    -23d11m03s |  1554 |       677 |      -- | 1183 |     3 |     842.00 |   237.1308 |    -3.7282 |   -8756.14 |    -705.71 |     -26.27 |
|                   Berkeley 78, Berkeley 78, Berkeley 78 |     7h23m40s |   5d22m03.75s |   251 |       678 |      -- | 1693 |     3 |    3156.67 |   211.7914 |     9.6048 |  -10943.70 |   -1639.71 |     562.29 |
|                                                FSR 1293 |     7h23m56s |    -25d21m30s |    -- |        -- |      -- | 1139 |     1 |     962.00 |   239.0908 |    -4.6828 |   -8792.72 |    -822.62 |     -49.94 |
|                            NGC 2374, NGC 2374, NGC 2374 |     7h23m58s |    -13d16m00s |  1105 |       679 |      -- | 1379 |     3 |    1443.33 |   228.4214 |     1.0254 |   -9257.58 |   -1079.51 |      55.94 |
|             Collinder 140, Collinder 140, Collinder 140 |  7h23m58.25s |    -31d54m57s |   365 |       682 |      -- |  970 |     3 |     398.67 |   244.9418 |    -7.7118 |   -8467.45 |    -357.88 |     -25.95 |
|                                    Majaess 88, FSR 1297 |   7h24m02.5s |    -25d53m58s |    -- |       680 |      -- | 1128 |     2 |    1827.00 |   239.5824 |    -4.9140 |   -9222.07 |   -1569.74 |    -126.51 |
|                            Ivanov 6, Ivanov 6, Ivanov 6 |     7h24m14s |    -24d38m00s |   797 |       681 |      -- | 1153 |     3 |     958.67 |   238.4801 |    -4.2833 |   -8799.97 |    -814.94 |     -42.98 |
|                                                FSR 1139 |     7h24m33s |     -2d53m00s |    -- |        -- |      -- | 1575 |     1 |    1964.00 |   219.3020 |     6.0294 |   -9810.65 |   -1237.13 |     238.21 |
|                                              Majaess 89 |     7h24m38s |    -24d34m59s |    -- |       683 |      -- |   -- |     1 |        nan |   238.4783 |    -4.1795 |        nan |        nan |        nan |
|                         Haffner 9, Haffner 9, Haffner 9 |     7h24m39s |  -17d00m02.5s |   735 |       686 |      -- | 1305 |     3 |    1232.33 |   231.7888 |    -0.5968 |   -9062.23 |    -968.24 |      16.64 |
|                            NGC 2383, NGC 2383, NGC 2383 |   7h24m40.5s |    -20d56m39s |  1106 |       685 |      -- | 1221 |     3 |    2236.67 |   235.2672 |    -2.4573 |   -9573.43 |   -1836.44 |     -64.76 |
|                   Ruprecht 18, Ruprecht 18, Ruprecht 18 |     7h24m41s |    -26d12m48s |  1562 |       684 |      -- | 1123 |     3 |    1203.67 |   239.9285 |    -4.9333 |   -8901.19 |   -1037.79 |     -74.56 |
|                                              Majaess 90 |     7h24m45s |    -24d29m34s |    -- |       687 |      -- |   -- |     1 |        nan |   238.4109 |    -4.1136 |        nan |        nan |        nan |
|                                                FSR 1283 |     7h24m54s |    -23d52m18s |    -- |        -- |      -- | 1169 |     1 |    4192.00 |   237.8775 |    -3.7915 |  -10524.99 |   -3542.49 |    -242.97 |
|                                                FSR 1142 |     7h25m07s |     -2d54m00s |    -- |        -- |      -- | 1574 |     1 |    1905.00 |   219.3830 |     6.1469 |   -9763.24 |   -1201.77 |     235.74 |
|                            NGC 2384, NGC 2384, NGC 2384 |     7h25m09s |    -21d01m15s |  1107 |       688 |      -- | 1220 |     3 |    2420.00 |   235.3873 |    -2.3958 |   -9673.70 |   -1989.94 |     -69.70 |
|                   Ruprecht 19, Ruprecht 19, Ruprecht 19 |   7h25m50.5s |    -21d34m24s |  1563 |       689 |      -- | 1210 |     3 |    1198.00 |   235.9508 |    -2.5153 |   -8970.24 |    -991.65 |     -23.40 |
|                                      FSR 1270, FSR 1270 |   7h26m05.5s |  -21d11m40.5s |    -- |       690 |      -- | 1217 |     2 |    1607.00 |   235.6445 |    -2.2846 |   -9206.31 |   -1325.61 |     -34.12 |
|                      Waterloo 7, Waterloo 7, Waterloo 7 |     7h26m08s |    -15d05m36s |  1751 |       691 |      -- | 1340 |     3 |    2844.00 |   230.2789 |     0.6219 |  -10117.20 |   -2187.37 |      63.77 |
|                                      FSR 1253, FSR 1253 |     7h26m17s |  -18d26m18.5s |    -- |       692 |      -- | 1278 |     2 |    2461.50 |   233.2391 |    -0.9366 |   -9773.03 |   -1971.74 |      -8.45 |
|                      Melotte 66, Melotte 66, Melotte 66 |   7h26m17.5s |    -47d40m03s |   930 |       693 |      -- |  640 |     3 |    4500.00 |   259.5533 |   -14.2580 |   -9094.37 |   -4289.09 |   -1078.73 |
|                      Trumpler 6, Trumpler 6, Trumpler 6 |   7h26m25.5s |    -24d11m42s |  1724 |       694 |      -- | 1164 |     3 |    2007.33 |   238.3277 |    -3.6368 |   -9352.21 |   -1704.93 |     -96.91 |
|                   Ruprecht 20, Ruprecht 20, Ruprecht 20 |   7h26m38.5s |    -28d48m30s |  1565 |       695 |      -- | 1065 |     3 |    1429.00 |   242.4363 |    -5.7629 |   -8958.33 |   -1260.40 |    -114.35 |
|                   Ruprecht 21, Ruprecht 21, Ruprecht 21 |     7h26m56s |    -31d10m09s |  1566 |       696 |      -- |  991 |     3 |    2596.00 |   244.5673 |    -6.8074 |   -9407.95 |   -2327.89 |    -277.11 |
|                                              DC 3, DC 3 |     7h27m00s |    -37d31m23s |    -- |       697 |      -- |  844 |     2 |    4317.00 |   250.2799 |    -9.7089 |   -9738.12 |   -4005.61 |    -696.36 |
|                               ASCC 38, ASCC 38, ASCC 38 |  7h27m05.25s |     -5d32m51s |    91 |       698 |      -- | 1525 |     3 |     523.00 |   221.9665 |     5.3451 |   -8686.97 |    -348.21 |      76.98 |
|                            NGC 2395, NGC 2395, NGC 2395 |     7h27m09s |     13d35m45s |  1109 |       699 |      -- | 1818 |     3 |     744.33 |   204.6115 |    13.9715 |   -8956.06 |    -300.82 |     208.84 |
|                      Trumpler 7, Trumpler 7, Trumpler 7 |     7h27m20s |    -23d57m18s |  1725 |       700 |      -- | 1167 |     3 |    1535.67 |   238.2142 |    -3.3406 |   -9107.78 |   -1303.13 |     -59.86 |
|                                         IRAS 07255-2012 |     7h27m39s |    -20d18m24s |    -- |        -- |      -- | 1233 |     1 |    8570.00 |   235.0361 |    -1.5421 |  -13210.04 |   -7020.68 |    -187.68 |
|                            NGC 2396, NGC 2396, NGC 2396 |  7h28m03.75s |    -11d43m45s |  1110 |       701 |      -- | 1415 |     3 |     573.67 |   227.5416 |     2.6347 |   -8686.72 |    -422.78 |      54.63 |
|                                      FSR 1275, FSR 1275 |   7h28m04.5s |    -21d47m35s |    -- |       702 |      -- | 1206 |     2 |    4145.50 |   236.3909 |    -2.1631 |  -10593.45 |   -3450.05 |    -122.01 |
|                      Czernik 29, Czernik 29, Czernik 29 |     7h28m20s |    -15d24m09s |   451 |       703 |      -- | 1333 |     3 |    3349.00 |   230.8036 |     0.9412 |  -10415.99 |   -2595.07 |      88.89 |
|                                                FSR 1260 |     7h28m26s |    -19d40m48s |    -- |        -- |      -- | 1250 |     1 |    1409.00 |   234.5729 |    -1.0815 |   -9116.64 |   -1147.92 |       3.06 |
|                      Haffner 10, Haffner 10, Haffner 10 |   7h28m35.5s |    -15d22m27s |   713 |       704 |      -- | 1335 |     3 |    4091.00 |   230.8085 |     1.0094 |  -10884.47 |   -3170.18 |     107.47 |
|                                      NGC 2394, NGC 2394 |     7h28m36s |      7d05m12s |  1108 |       705 |      -- |   -- |     2 |     800.00 |   210.7831 |    11.4690 |   -8973.00 |    -401.26 |     188.26 |
|                      ESO 559-13, ESO 559 13, ESO 559-13 |   7h28m42.5s |    -20d49m03s |   703 |       706 |      -- | 1224 |     3 |    1551.33 |   235.6034 |    -1.5681 |   -9176.14 |   -1279.60 |     -12.61 |
|                      Haffner 24, Haffner 24, Haffner 24 |   7h28m56.5s |    -18d18m57s |   726 |       707 |      -- | 1281 |     3 |    1548.00 |   233.4321 |    -0.3238 |   -9222.23 |   -1243.26 |      21.25 |
|                   Ruprecht 22, Ruprecht 22, Ruprecht 22 |     7h29m18s |    -29d11m00s |  1567 |       708 |      -- | 1053 |     3 |    1072.67 |   243.0432 |    -5.4258 |   -8784.37 |    -951.84 |     -72.85 |
|                                                FSR 1400 |     7h29m22s |    -47d51m12s |    -- |        -- |      -- |  633 |     1 |    2290.00 |   259.9525 |   -13.8685 |   -8689.62 |   -2189.14 |    -520.64 |
|                            NGC 2401, NGC 2401, NGC 2401 |     7h29m24s |    -13d58m09s |  1111 |       709 |      -- | 1362 |     3 |    5322.00 |   229.6675 |     1.8528 |  -11742.10 |   -4054.84 |     210.25 |
|                                                  DBSB 6 |     7h29m58s |    -19d06m00s |    -- |        -- |      -- | 1265 |     1 |    4152.00 |   234.2367 |    -0.4864 |  -10726.56 |   -3368.97 |      -0.36 |
|                      Dolidze 26, Dolidze 26, Dolidze 26 |   7h30m05.5s |     11d53m33s |   511 |       711 |      -- | 1791 |     3 |    1380.00 |   206.5141 |    13.8957 |   -9497.59 |    -598.03 |     362.31 |
|                                        Mayer 3, Mayer 3 |     7h30m06s |    -18d32m00s |   922 |       710 |      -- |   -- |     2 |    1247.00 |   233.7547 |    -0.1868 |   -9037.24 |   -1005.69 |      25.33 |
|                                  Waterloo 8, Waterloo 8 |     7h30m12s |    -15d50m00s |  1752 |       712 |      -- |   -- |     2 |        nan |   231.3971 |     1.1296 |        nan |        nan |        nan |
|                                               MWSC 5901 |     7h30m14s |     27d01m12s |    -- |        -- |      -- | 2022 |     1 |     709.00 |   191.9995 |    19.9210 |   -8951.18 |    -138.58 |     270.69 |
|                   Ruprecht 23, Ruprecht 23, Ruprecht 23 |     7h30m38s |    -23d23m09s |  1568 |       713 |      -- | 1176 |     3 |    2027.00 |   238.0736 |    -2.4051 |   -9371.22 |   -1718.86 |     -54.58 |
|                            Ivanov 7, Ivanov 7, Ivanov 7 |   7h30m39.5s |    -15d18m06s |   798 |       714 |      -- | 1336 |     3 |    2146.67 |   230.9835 |     1.4815 |   -9650.74 |   -1667.32 |      86.89 |
|                            Bochum 5, Bochum 5, Bochum 5 |   7h31m02.5s |    -16d55m27s |   341 |       715 |      -- | 1307 |     3 |    1173.00 |   232.4510 |     0.7828 |   -9014.71 |    -929.90 |      45.35 |
|                            FSR 1234, FSR 1234, FSR 1234 |   7h31m10.5s |    -15d25m44s |    -- |       716 |      69 | 1332 |     3 |    2804.00 |   231.1549 |     1.5297 |  -10057.79 |   -2183.10 |     107.57 |
|                      Czernik 30, Czernik 30, Czernik 30 |   7h31m14.5s |     -9d57m12s |   453 |       717 |      -- | 1454 |     3 |    7377.33 |   226.3500 |     4.1670 |  -13376.94 |   -5323.90 |     579.57 |
|                            Bochum 4, Bochum 4, Bochum 4 |     7h31m37s |    -17d11m30s |   340 |       718 |      -- | 1302 |     3 |    1817.33 |   232.7516 |     0.7746 |   -9399.75 |   -1446.50 |      55.14 |
|                              Bochum 6, Bochum 6, DBSB 9 |     7h31m53s |    -19d23m45s |   342 |       721 |      -- | 1259 |     3 |    3623.33 |   234.7136 |    -0.2320 |  -10393.05 |   -2957.61 |      19.13 |
|                                      FSR 1227, FSR 1227 |     7h31m54s |    -13d50m51s |    -- |       719 |      -- | 1366 |     2 |    4500.00 |   229.8516 |     2.4435 |  -11198.14 |   -3436.57 |     228.27 |
|                   Ruprecht 24, Ruprecht 24, Ruprecht 24 |  7h31m54.25s | -12d45m39.25s |  1569 |       720 |      -- | 1393 |     3 |    1229.67 |   228.8980 |     2.9662 |   -9107.05 |    -925.36 |      93.26 |
|                                                FSR 1226 |     7h32m52s |    -13d44m42s |    -- |        -- |      -- | 1369 |     1 |    2901.00 |   229.8747 |     2.6986 |  -10167.01 |   -2215.75 |     169.65 |
|                            NGC 2413, NGC 2413, NGC 2413 |   7h33m05.5s | -13d06m17.75s |  1113 |       723 |      -- | 1387 |     3 |     740.33 |   229.3393 |     3.0546 |   -8781.53 |    -560.81 |      68.02 |
|                               ASCC 39, ASCC 39, ASCC 39 |     7h33m08s |    -22d57m00s |    92 |       722 |      -- | 1184 |     3 |    1536.33 |   237.9678 |    -1.6917 |   -9114.61 |   -1301.86 |     -15.71 |
|                            NGC 2414, NGC 2414, NGC 2414 |   7h33m10.5s |    -15d27m15s |  1114 |       724 |      -- | 1331 |     3 |    3261.33 |   231.4093 |     1.9399 |  -10332.69 |   -2547.67 |     144.01 |
|                      ESO 429-02, ESO 429 02, ESO 429-02 |  7h33m24.25s | -28d11m18.75s |   666 |       725 |      -- | 1081 |     3 |    1242.33 |   242.5947 |    -4.1609 |   -8870.56 |   -1100.00 |     -61.29 |
|                   Ruprecht 40, Ruprecht 40, Ruprecht 40 |     7h33m28s |    -20d30m48s |  1587 |       726 |      -- | 1230 |     3 |    1224.00 |   235.8719 |    -0.4459 |   -8986.68 |   -1013.18 |      19.71 |
|                               ASCC 40, ASCC 40, ASCC 40 |  7h33m37.75s |    -13d45m45s |    94 |       727 |      -- | 1368 |     3 |    1504.33 |   229.9794 |     2.8524 |   -9265.89 |   -1150.61 |     105.00 |
|                                                FSR 1264 |     7h33m45s |    -19d48m42s |    -- |        -- |      -- | 1244 |     1 |    1215.00 |   235.2901 |    -0.0480 |   -8991.80 |    -998.78 |      28.23 |
|                                                FSR 1302 |     7h34m23s |    -26d19m30s |    -- |        -- |      -- | 1121 |     1 |    2262.00 |   241.0630 |    -3.0731 |   -9393.24 |   -1976.75 |     -90.71 |
|                                               MWSC 5018 |     7h34m30s |     22d49m30s |    -- |        -- |      -- | 1952 |     1 |    2070.00 |   196.5177 |    19.2753 |  -10171.05 |    -555.53 |     716.41 |
|                                      FSR 1243, FSR 1243 |     7h34m32s |    -15d57m14s |    -- |       728 |      -- | 1325 |     2 |    4336.00 |   232.0052 |     1.9844 |  -10967.06 |   -3415.00 |     185.81 |
|                                  Teutsch 61, Teutsch 61 |   7h34m39.5s |  -19d47m41.5s |    -- |       729 |      -- | 1245 |     2 |    1959.00 |   235.3790 |     0.1470 |   -9412.93 |   -1612.11 |      35.64 |
|                                    Alessi 17, Alessi 17 |     7h35m24s |    -15d05m30s |     8 |        -- |      -- | 1341 |     2 |    2348.50 |   231.3517 |     2.5849 |   -9764.84 |   -1832.30 |     137.68 |
|                      Haffner 11, Haffner 11, Haffner 11 |  7h35m25.25s | -27d42m23.75s |   714 |       730 |      -- | 1092 |     3 |    5685.67 |   242.3864 |    -3.5384 |  -10931.40 |   -5028.43 |    -315.36 |
|                                                 DBSB 10 |     7h35m26s |    -22d23m42s |    -- |        -- |      -- | 1191 |     1 |    2362.00 |   237.7394 |    -0.9587 |   -9560.67 |   -1997.10 |      -8.42 |
|                                                  DBSB 7 |     7h35m32s |    -18d45m54s |    -- |        -- |      -- | 1271 |     1 |    2549.00 |   234.5793 |     0.8280 |   -9777.01 |   -2077.01 |      68.64 |
|                                                FSR 1268 |     7h35m44s |    -19d46m42s |    -- |        -- |      -- | 1246 |     1 |     974.00 |   235.4876 |     0.3760 |   -8851.78 |    -802.56 |      35.19 |
|                            NGC 2421, NGC 2421, NGC 2421 |   7h36m13.5s |    -20d36m39s |  1116 |       731 |      -- | 1227 |     3 |    2186.33 |   236.2708 |     0.0711 |   -9513.94 |   -1818.31 |      33.66 |
|                            NGC 2422, NGC 2422, NGC 2422 |   7h36m37.5s |    -14d29m12s |  1117 |       732 |      -- | 1355 |     3 |     483.67 |   230.9660 |     3.1374 |   -8604.02 |    -375.14 |      54.46 |
|                   Ruprecht 25, Ruprecht 25, Ruprecht 25 |     7h36m47s |    -23d22m09s |  1570 |       733 |      -- | 1177 |     3 |    2390.00 |   238.7418 |    -1.1618 |   -9540.01 |   -2042.64 |     -17.43 |
|                                                Riddle 5 |     7h36m47s |    -24d39m42s |    -- |        -- |      -- | 1152 |     1 |    2706.00 |   239.8704 |    -1.7923 |   -9657.86 |   -2339.25 |     -53.22 |
