#                
# https://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/A%2bA/623/A108/               
#                
Cluster RA_ICRS DE_ICRS logA e E Dist_mod e E AV e E AGTO e E Fe/H r
Alessi5 160.819 -61.081 7.723 7.74 7.609 7.721 7.777 7.69 0.592 0.616 0.562 0.578 0.601 0.549 -0.133 D02
Alessi6 220.058 -66.127 8.777 8.803 8.744 9.552 9.575 9.53 0.719 0.74 0.698 0.702 0.722 0.681 -0.382 K13
Alessi24 260.764 -62.693 7.945 7.969 7.906 8.303 8.332 8.277 0.337 0.363 0.312 0.329 0.354 0.305 -0.154 D02
BH99 159.553 -59.168 7.908 7.943 7.882 8.082 8.114 8.056 0.203 0.225 0.175 0.198 0.22 0.171 0 K13
Collinder140 110.882 -31.966 7.473 7.52 7.429 7.809 7.86 7.759 0.105 0.127 0.078 0.102 0.124 0.076 0.01 PHC
Czernik27 105.83 6.382 9.065 9.084 9.043 12.969 13.002 12.932 0.535 0.569 0.507 0.522 0.555 0.495 -0.38 D02
Harvard5 186.817 -60.77 7.812 7.997 7.751 10.403 10.431 10.375 0.679 0.706 0.651 0.663 0.689 0.635 -0.09 PHC
IC1369 318.033 47.77 8.462 8.464 8.46 12.543 12.56 12.53 2.05 2.063 2.037 2.001 2.014 1.988 0.09 D02
IC2488 141.857 -57.004 8.2 8.225 8.15 10.627 10.644 10.612 0.702 0.715 0.689 0.685 0.698 0.673 0.08 PHC
IC4725 277.937 -19.114 7.984 7.988 7.974 9.156 9.175 9.137 1.087 1.103 1.073 1.061 1.077 1.047 0 PHC
King6 51.982 56.444 8.582 8.584 8.465 9.535 9.553 9.506 1.106 1.131 1.086 1.08 1.104 1.06 0.46 D02
Lynga1 209.994 -62.152 7.934 8.216 7.62 11.762 11.819 11.709 1.509 1.562 1.452 1.473 1.525 1.417 0.02 PHC
NGC0381 17.094 61.586 8.699 8.775 8.634 10.525 10.553 10.492 1.043 1.073 1.014 1.018 1.047 0.99 0.07 D02
NGC2215 95.199 -7.277 8.786 8.841 8.663 9.839 9.868 9.812 0.863 0.896 0.839 0.842 0.875 0.819 -0.4 D02
NGC2281 102.091 41.06 8.779 8.804 8.706 8.465 8.486 8.448 0.137 0.165 0.122 0.134 0.161 0.119 0.13 D02
NGC2343 107.029 -10.619 7.934 7.96 7.896 10.07 10.095 10.044 0.494 0.518 0.471 0.482 0.506 0.46 0.03 PHC
NGC2422 114.147 -14.489 8.104 8.12 8.087 8.255 8.275 8.238 0.197 0.213 0.181 0.192 0.208 0.177 0.09 PHC
NGC2546 123.082 -37.661 7.962 7.993 7.942 9.819 9.84 9.798 0.464 0.48 0.444 0.453 0.469 0.433 0.01 PHC
