#                
# https://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/A%2bA/623/A108/               
#                
Cluster RA_ICRS DE_ICRS logA e E Dist_mod e E AV e E AGTO e E Fe/H r
NGC2358 109.261 -17.143 8.701 9.532 8.681 9.711 9.739 9.68 0.123 0.146 0.003 0.12 0.143 0.003 0 NC
NGC2374 111.016 -13.235 8.586 8.632 8.56 10.416 10.445 10.384 0.425 0.452 0.399 0.415 0.441 0.389 0 NC
NGC2383 111.174 -20.949 8.222 8.231 8.212 12.658 12.681 12.64 1.027 1.044 1.01 1.002 1.019 0.986 0 NC
NGC2396 111.984 -11.725 7.89 7.902 7.882 10.725 10.743 10.707 0.305 0.323 0.286 0.298 0.315 0.279 0 NC
NGC2432 115.223 -19.078 8.848 8.9 8.838 11.479 11.524 11.455 0.74 0.76 0.68 0.722 0.742 0.664 0 NC
NGC2448 116.034 -24.837 7.997 8.009 7.977 10.163 10.184 10.142 0.119 0.133 0.104 0.116 0.13 0.102 0 NC
NGC2645 129.774 -46.235 7.425 7.498 7.401 11.295 11.323 11.267 1.292 1.319 1.263 1.261 1.287 1.233 0 NC
NGC2659 130.634 -44.999 7.434 7.474 7.404 11.809 11.836 11.779 1.492 1.517 1.464 1.456 1.481 1.429 0 NC
NGC2669 131.611 -52.931 7.913 7.933 7.896 10.254 10.274 10.237 0.62 0.636 0.601 0.605 0.621 0.587 0 NC
NGC2866 140.526 -51.1 7.718 7.847 7.541 12.575 12.605 12.543 1.967 1.995 1.938 1.92 1.947 1.892 0 NC
NGC2910 142.643 -52.913 7.678 7.709 7.648 10.784 10.807 10.762 0.858 0.88 0.835 0.837 0.859 0.815 0 NC
NGC2925 143.321 -53.413 8.184 8.576 8.051 9.383 9.412 9.354 0.292 0.32 0.263 0.285 0.312 0.257 0 NC
NGC3330 159.659 -54.148 7.769 7.811 7.763 11.051 11.074 11.03 0.401 0.421 0.387 0.391 0.411 0.378 0 NC
NGC3496 164.877 -60.335 8.646 9.226 8.631 11.973 12.497 11.956 1.447 1.468 0.758 1.412 1.433 0.74 0 NC
NGC4103 181.628 -61.245 7.436 7.437 7.436 11.414 11.429 11.398 0.994 1.012 0.98 0.97 0.988 0.957 0 NC
NGC4439 187.119 -60.097 7.778 7.789 7.765 11.562 11.593 11.533 1.064 1.092 1.037 1.039 1.066 1.012 0 NC
NGC4463 187.466 -64.8 7.54 7.574 7.513 11.3 11.33 11.272 1.439 1.466 1.412 1.405 1.431 1.378 0 NC
NGC4852 195.046 -59.607 7.54 9.024 7.527 10.667 10.695 10.618 1.224 1.251 0.841 1.195 1.221 0.821 0 NC
NGC5749 222.204 -54.502 7.812 7.852 7.778 10.351 10.378 10.323 1.024 1.05 1.001 1 1.025 0.977 0 NC
NGC6152 248.213 -52.629 8.236 9.36 8.226 10.986 11.052 10.962 1.059 1.08 0.669 1.034 1.054 0.653 0 NC
NGC6242 253.878 -39.474 7.767 7.771 7.762 10.378 10.396 10.357 0.988 1.005 0.972 0.964 0.981 0.949 0 NC
NGC6249 254.445 -44.815 7.316 7.331 7.303 10.491 10.532 10.453 1.377 1.413 1.344 1.344 1.379 1.312 0 NC
NGC6531 271.036 -22.505 7.046 7.046 7.046 10.19 10.211 10.17 0.757 0.779 0.737 0.739 0.76 0.719 0 NC
NGC6704 282.687 -5.203 8.237 8.266 8.233 11.783 11.804 11.752 2.26 2.285 2.232 2.206 2.23 2.179 0 NC
NGC6709 282.836 10.334 8.239 8.321 8.221 10.197 10.216 10.177 0.814 0.83 0.797 0.795 0.81 0.778 0 NC
NGC6728 284.715 -8.953 8.768 8.79 8.752 11.035 11.064 11.01 0.715 0.732 0.696 0.698 0.715 0.679 0 NC
NGC6793 290.817 22.159 8.758 8.821 8.615 8.648 8.671 8.623 0.677 0.698 0.654 0.661 0.681 0.638 0 NC
NGC6800 291.664 25.008 8.539 8.687 8.483 10.252 10.291 10.218 1.085 1.12 1.046 1.059 1.093 1.021 0 NC
NGC6997 314.128 44.64 8.742 8.796 8.669 10.193 10.218 10.168 1.643 1.666 1.618 1.604 1.626 1.579 0 NC
NGC7058 320.448 50.822 7.598 7.632 7.573 7.807 7.845 7.767 0.26 0.299 0.224 0.254 0.292 0.219 0 NC
NGC7063 321.122 36.507 8.274 8.478 8.03 9.101 9.131 9.069 0.326 0.356 0.295 0.318 0.347 0.288 0 NC
NGC7235 333.083 57.271 7.006 7.007 7.005 13.163 13.182 13.142 2.516 2.536 2.497 2.456 2.475 2.437 0 NC
NGC7281 336.259 57.869 7.471 7.734 7.455 11.887 11.916 11.858 1.512 1.535 1.485 1.476 1.498 1.45 0 NC
NGC7788 359.179 61.395 7.269 7.277 7.261 12.519 12.539 12.494 1.627 1.648 1.611 1.588 1.609 1.572 0 NC
Platais3 69.976 71.28 8.319 8.519 8.222 6.097 6.148 6.052 0.221 0.255 0.185 0.216 0.249 0.181 0 NC
Platais9 139.241 -43.862 7.894 7.947 7.871 6.027 6.082 5.951 0 0 0 0 0 0 0 NC
Platais10 205.22 -59.271 7.962 8.055 7.888 6.861 6.923 6.799 0.277 0.324 0.232 0.27 0.316 0.226 0 NC
Pozzo1 122.374 -47.335 7.117 7.178 7.087 7.495 7.586 7.428 0.163 0.188 0.136 0.159 0.184 0.133 0 NC
Roslund3 299.695 20.509 7.643 7.673 7.614 11.203 11.229 11.178 1.035 1.056 1.011 1.01 1.031 0.987 0 NC
Roslund6 307.185 39.798 7.976 8.025 7.96 7.597 7.628 7.566 0.144 0.169 0.122 0.141 0.165 0.119 0 NC
Ruprecht29 115.279 -24.377 8.162 8.469 7.626 11.569 11.608 11.528 0.601 0.643 0.563 0.587 0.628 0.55 0 NC
Ruprecht34 116.478 -20.386 8.865 8.903 8.821 11.82 11.854 11.782 0.362 0.385 0.341 0.353 0.376 0.333 0 NC
Ruprecht44 119.708 -28.558 7.132 7.27 7.108 13.849 13.878 13.822 1.885 1.906 1.857 1.84 1.86 1.813 0 NC
Ruprecht50 120.872 -30.873 8.578 8.659 8.503 11.709 11.75 11.673 0.575 0.61 0.536 0.561 0.595 0.523 0 NC
Ruprecht58 123.71 -31.938 8.706 8.713 8.692 12.359 12.382 12.336 0.675 0.697 0.658 0.659 0.68 0.642 0 NC
Ruprecht67 130.464 -43.363 8.651 8.737 8.459 11.08 11.124 11.03 1.292 1.341 1.248 1.261 1.309 1.218 0 NC
Ruprecht76 141.077 -51.651 8.298 8.489 7.812 11.56 11.606 11.512 1.287 1.336 1.24 1.256 1.304 1.21 0 NC
Ruprecht82 146.421 -54.004 8.548 8.624 8.499 11.718 11.742 11.694 1.036 1.059 1.012 1.011 1.034 0.988 0 NC
Ruprecht84 147.281 -65.259 8.48 8.558 8.417 11.324 11.363 11.288 0.529 0.559 0.486 0.516 0.546 0.474 0 NC
Ruprecht98 179.715 -64.581 8.756 8.786 8.719 8.339 8.373 8.308 0.5 0.53 0.47 0.488 0.517 0.459 0 NC
Ruprecht108 203.002 -58.509 7.951 8.316 7.925 9.964 9.999 9.931 0.492 0.526 0.461 0.48 0.513 0.45 0 NC
Ruprecht161 152.4 -61.259 7.986 8.035 7.935 9.757 9.783 9.731 0.321 0.344 0.295 0.313 0.336 0.288 0 NC
Ruprecht176 243.676 -51.332 8.168 8.193 8.075 12.059 12.083 12.035 1.678 1.704 1.653 1.638 1.663 1.613 0 NC
Stephenson1 283.568 36.899 7.435 7.488 7.323 7.71 7.776 7.653 0.157 0.198 0.113 0.153 0.193 0.11 0 NC
Stock1 294.146 25.163 8.676 8.702 8.652 7.906 7.935 7.876 0.387 0.412 0.357 0.378 0.402 0.348 0 NC
Stock10 84.808 37.85 8.06 8.246 8.023 7.574 7.613 7.537 0.255 0.286 0.227 0.249 0.279 0.222 0 NC
Stock12 353.923 52.685 8.188 8.514 8.095 8.07 8.098 8.04 0.27 0.296 0.244 0.264 0.289 0.238 0 NC
Stock23 49.075 60.377 7.973 8.011 7.912 8.903 8.934 8.872 0.751 0.779 0.72 0.733 0.76 0.703 0 NC
Teutsch35 294.091 35.742 7.9 7.937 7.888 8.38 8.406 8.35 0 0 0 0 0 0 0 NC
Teutsch61 113.661 -19.793 7.686 7.906 7.454 12.555 12.594 12.518 1.765 1.801 1.728 1.723 1.758 1.687 0 NC
Tombaugh1 105.126 -20.569 8.991 9.008 8.967 12.191 12.214 12.169 0.791 0.812 0.766 0.772 0.793 0.748 0 NC
Trumpler1 23.915 61.283 7.513 7.642 7.268 12.595 12.624 12.568 1.785 1.812 1.757 1.742 1.769 1.715 0 NC
Trumpler2 39.232 55.905 7.962 8.023 7.929 9.335 9.356 9.314 0.954 0.975 0.936 0.931 0.952 0.914 0 NC
Trumpler7 111.849 -23.949 7.692 7.706 7.674 11.172 11.199 11.149 0.841 0.865 0.819 0.821 0.844 0.799 0 NC
Trumpler9 118.911 -25.888 7.486 7.504 7.479 12.309 12.338 12.291 0.868 0.884 0.845 0.847 0.863 0.825 0 NC
Trumpler11 151.248 -61.619 7.325 7.326 7.325 12.941 12.964 12.919 0.752 0.773 0.73 0.734 0.755 0.713 0 NC
Trumpler12 151.621 -60.29 8.898 8.901 8.885 12.567 12.591 12.546 0.567 0.587 0.545 0.553 0.573 0.532 0 NC
Trumpler18 167.826 -60.656 7.665 7.695 7.638 11.085 11.11 11.061 0.908 0.931 0.883 0.886 0.909 0.862 0 NC
Trumpler21 203.068 -62.787 7.69 7.699 7.669 10.559 10.581 10.534 0.723 0.745 0.699 0.706 0.727 0.682 0 NC
Trumpler26 262.126 -29.487 8.561 8.661 8.417 10.57 10.606 10.532 1.512 1.547 1.477 1.476 1.51 1.442 0 NC
Trumpler29 265.347 -40.158 7.762 7.795 7.72 10.671 10.694 10.648 0.751 0.769 0.732 0.733 0.751 0.715 0 NC
Trumpler30 269.182 -35.298 8.566 8.621 8.494 10.501 10.526 10.475 0.931 0.955 0.907 0.909 0.932 0.885 0 NC
Waterloo7 111.532 -15.09 7.653 7.877 7.343 12.831 12.871 12.786 1.321 1.36 1.282 1.289 1.327 1.251 0 NC
