GLON,GLAT,RAJ2000,DEJ2000,Diam-a,Diam-b,Name,Class1,Class2,Com,Code,recno
52.77,8.74,18 55 49,+21 34 49,15,15,Alessi 62,OC   ,     ,                                ,REF891                                         ,1829
52.84,-18.91,20 35 45,+07 58 55,17,17,MWSC 5751,OC   ,     ,                                ,REF1098                                        ,1830
53.21,3.33,19 17 16,+19 32 55,6,6,Berkeley 44,OC   ,     ,                                ,"REF239,REF881,REF1020,REF332,REF3033           ",1850
53.61,7.8,19 01 01,+21 54 54,100,100,UBC 26,OC   ,     ,                                ,REF8003                                        ,1858
54.18,-0.61,19 33 55,+18 31 12,2.1,2.1,Kronberger 79,OC   ,     ,                                ,REF327                                         ,1876
54.22,24.37,17 54 13,+28 50 56,16,16,MWSC 5365,OC   ,     ,                                ,REF1098                                        ,1878
54.48,16.8,18 26 36,+26 24 02,60,60,Teutsch 179,OC   ,     ,                                ,"REF1070,REF8003                                ",1887
54.62,-3.43,19 45 11,+17 31 20,10,10,Roslund 1,OC   ,     ,contaminated                    ,"REF239,REF1042                                 ",1893
54.73,-1.24,19 37 23,+18 41 50,3.6,3.6,Teutsch 27,OC   ,     ,                                ,"REF327,REF783,REF913                           ",1899
54.89,-18.26,20 37 48,+09 58 13,20,20,FSR 140,OC   ,     ,                                ,REF507                                         ,1903
54.9,-1.56,19 38 53,+18 41 24,18,18,ASCC 104,OC   ,     ,                                ,REF306                                         ,1904
54.95,-6.8,19 58 01,+16 06 04,1.6,1.6,Steine 32,OC   ,     ,                                ,REF1070                                        ,1907
55.32,0.91,19 30 35,+20 15 35,6,4,NGC 6802,OC   ,     ,                                ,"REF239,REF1020                                 ",1914
55.79,-0.19,19 35 39,+20 07 44,20,20,FSR 142,OC   ,     ,core                            ,"REF507,REF3033                                 ",1925
56.04,-5.14,19 54 23,+17 52 52,9,9,NGC 6839,OC   ,     ,                                ,"REF226,REF667,REF1042                          ",1931
56.14,-1.78,19 42 18,+19 39 42,1.6,1.6,Steine 31,OC   ,     ,                                ,REF1070                                        ,1936
56.19,3.3,19 23 21,+22 09 37,8.5,5,NGC 6793,OC   ,     ,                                ,"REF239,REF985                                  ",1942
56.31,-4.68,19 53 17,+18 21 00,8,8,Harvard 20,OC   ,     ,                                ,"REF239,REF3032,REF3033                         ",1949
56.31,-4.38,19 52 11,+18 30 10,8,8,FSR 143,OC   ,     ,                                ,"REF507,REF3033                                 ",1950
56.44,19.5,18 18 21,+29 07 48,4.5,4.5,FSR 145,OC   ,lPOCR,                                ,REF507                                         ,1956
57.03,0.02,19 37 28,+21 18 52,7,7,FSR 148,OC   ,     ,contaminated                    ,"REF507,REF3033                                 ",1974
57.14,5.41,19 17 09,+23 58 24,6,6,FSR 149,OC   ,     ,                                ,REF507                                         ,1978
57.48,-1.11,19 42 40,+21 09 33,4.5,4,Czernik 40,OC   ,     ,                                ,"REF239,REF733                                  ",1984
57.69,24.31,17 59 07,+31 49 44,17,17,MWSC 5366,OC   ,     ,                                ,REF1098                                        ,1993
57.84,-60.61,23 03 02,-12 19 06,29,29,MWSC 5811,OC   ,     ,"nearby, high latitude           ",REF1098                                        ,1997
