

Results from heasarc_mwsc: Milky Way Star Clusters Catalog
Coordinate system:  Equatorial
|source_number|name             |broad_type|cluster_status|ra      |dec     |lii    |bii    |core_radius|central_radius|cluster_radius|pm_ra  |pm_dec |pm_tot_error|rad_vel |rad_vel_error|num_rad_vel_stars|num_core_stars|num_central_stars|num_cluster_stars|distance|e_bv   |distance_modulus|e_jk   |e_jh   |delta_h|log_age|log_age_error|num_log_age_stars|king_core_radius|king_core_radius_error|king_tidal_radius|king_tidal_radius_error|king_norm_factor|king_norm_factor_error|reference_code|cluster_type|metallicity|metallicity_error|num_metallicity_stars|comments                                                                                                                                                                                                                                                 |class                                              |
|         2552|NGC 6318         |          |              |17 16 11|-39 25.0|347.909| -0.683|      0.010|         0.055|         0.110|   2.52|   0.42|        1.39|        |             |                 |             1|               16|               66|    1841|  1.166|          11.700|  0.560|  0.374|  0.000|  7.800|             |                 |            0.70|                  0.10|             7.00|                   1.08|           38.72|                  4.01|DIAS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1546|FSR 1399         |          |              |08 44 10|-39 21.9|259.939|  2.048|      0.020|         0.070|         0.125|  -4.38|   8.07|        0.66|        |             |                 |             6|               49|               91|    3308|  1.249|          13.000|  0.600|  0.400|  0.030|  8.300|             |                 |            1.07|                  0.37|            14.80|                   5.54|            2.30|                  0.72|FPRO          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2354|FSR 1736         |          |              |16 07 55|-39 21.0|339.262|  9.282|      0.020|         0.070|         0.105|  -3.14|  -2.63|        0.92|        |             |                 |             4|               34|               66|    7468|  0.416|          14.500|  0.200|  0.133|  0.000|  9.700|             |                 |            3.54|                  1.19|            25.81|                   8.53|            0.22|                  0.06|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         4170|MWSC 4170        |          |              |13 36 49|-39 11.1|312.454| 22.846|      0.020|         0.125|         0.220|  -3.94|  -0.52|        0.74|        |             |                 |             3|               51|              132|    1548|  0.312|          11.050|  0.150|  0.100|  0.000|  9.380|        0.024|                5|            1.07|                  0.34|            11.97|                   4.20|            4.01|                  0.93|AIPk          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2544|DBSB 179         |          |              |17 11 24|-39 10.7|347.560|  0.206|      0.014|         0.060|         0.115|  -3.40|  -3.78|        1.69|        |             |                 |             2|               11|               28|    7908|  1.895|          15.100|  0.910|  0.607|  0.050|  7.380|        0.094|                8|            5.12|                  1.71|            25.11|                   7.25|            0.11|                  0.03|BIRN          |irc         |           |                 |                    0|Strong and variable reddening; PMs are poor/absent due to crowding; center is shifted to 17.1922h,-39.177d.                                                                                                                                              |                                  OPEN STAR CLUSTER|
|         2551|FSR 1754         |          |              |17 14 58|-39 05.1|348.042| -0.299|      0.020|         0.080|         0.130|  -4.32|  -2.01|        0.94|        |             |                 |             4|               37|               99|    1400|  1.457|          11.200|  0.700|  0.467|  0.000|  7.150|             |                 |            1.10|                  0.22|             6.09|                   1.16|           16.22|                  1.64|FPRO          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2473|FSR 1746         |          |              |16 50 42|-39 04.8|345.171|  3.434|      0.020|         0.080|         0.140|   2.82|  -0.19|        0.84|        |             |                 |             9|               59|              135|    4103|  0.729|          13.300|  0.350|  0.233|  0.010|  9.300|             |                 |            6.63|                  0.90|            15.60|                   1.34|            5.20|                  0.99|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2629|NGC 6380         |g         |o             |17 34 28|-39 04.0|350.183| -3.419|      0.030|         0.065|         0.125|  -2.05|  -3.55|        0.75|   -3.60|         2.50|                 |            14|               76|              276|   10897|  1.176|          15.565|  0.565|  0.377| -0.040| 10.050|             |                 |            4.40|                  0.27|            54.83|                   3.71|            4.86|                  0.24|HARR          |glo         |     -0.750|                 |                   76|Ton_1; PMs in center are poor/absent due to crowding.                                                                                                                                                                                                    |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|         1500|ASCC 47          |          |              |08 31 47|-39 03.3|258.240|  0.328|      0.020|         0.155|         0.280|  -8.00|   6.65|        0.45|   11.00|         7.40|                1|             3|              101|              357|     780|  0.125|           9.501|  0.060|  0.040| -0.014|  7.880|             |                 |            1.76|                  1.02|             5.71|                   2.60|            1.70|                  0.95|COCD          |            |           |                 |                    0|Alessi-Teutsch_7; sparse; nearby.                                                                                                                                                                                                                        |                                  OPEN STAR CLUSTER|
|         2587|Trumpler 25      |          |              |17 24 23|-39 01.0|349.146| -1.759|      0.015|         0.090|         0.160|  -1.99|  -2.13|        0.56|        |             |                 |             5|               79|              177|    1818|  0.937|          11.599|  0.450|  0.300|  0.010|  8.350|             |                 |            1.45|                  0.13|             9.55|                   0.84|           37.88|                  1.75|DIAS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2514|FSR 1750         |r         |c             |17 02 06|-38 51.9|346.724|  1.838|      0.025|         0.075|         0.125|  -2.88|  -1.50|        0.98|        |             |                 |             7|               44|              134|    1555|  0.750|          11.200|  0.360|  0.240|  0.000|  8.795|        0.007|                2|            0.67|                  0.08|             5.84|                   0.69|           39.01|                  4.05|FPRO          |            |           |                 |                    0|Sparse.                                                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|         2411|NGC 6139         |g         |o             |16 27 40|-38 50.9|342.366|  6.939|      0.040|         0.075|         0.130|  -7.39|  -5.73|        0.71|    6.70|         6.00|                 |            11|               58|              163|   10110|  0.750|          15.265|  0.360|  0.240|  0.020| 10.100|             |                 |            3.57|                  0.33|            21.36|                   1.95|            8.88|                  0.50|HARR          |glo         |     -1.545|                 |                   58|PMs in center are poor/absent due to crowding.                                                                                                                                                                                                           |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|         2565|Havlen-Moffat 1  |          |              |17 18 54|-38 49.0|348.703| -0.767|      0.020|         0.075|         0.140|   0.08|   0.00|        0.81|        |             |                 |             2|               30|               64|    4854|  1.770|          14.000|  0.850|  0.567| -0.035|  6.950|             |                 |            3.27|                  0.39|            23.14|                   2.85|            2.06|                  0.18|DIAS          |            |           |                 |                    0|The brightest members are WN... and O F.                                                                                                                                                                                                                 |                                  OPEN STAR CLUSTER|
|         1532|Pismis 7         |          |              |08 41 12|-38 42.4|259.066|  2.001|      0.015|         0.085|         0.155|  -3.54|   8.67|        0.82|        |             |                 |             3|               38|              103|    4783|  0.937|          13.700|  0.450|  0.300|  0.000|  8.705|        0.075|               10|            2.10|                  0.95|            18.39|                   8.90|            0.52|                  0.17|DIAS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1498|Pismis 3         |          |              |08 31 16|-38 39.5|257.859|  0.480|      0.020|         0.105|         0.205|  -4.80|  10.29|        0.39|        |             |                 |             9|              160|              449|    1418|  1.187|          11.140|  0.570|  0.380| -0.040|  8.925|        0.030|                8|            3.05|                  0.39|             8.22|                   0.71|           33.55|                  5.09|DIAS          |            |           |                 |                    0|Center is shifted to 8.5210h,-38.658d; PMs in center are poor/absent due to crowding.                                                                                                                                                                    |                                  OPEN STAR CLUSTER|
|         2729|Sco OB5          |a         |o             |17 52 26|-38 38.1|352.380| -6.183|      0.025|         0.170|         0.310|   2.24|  -2.00|        0.48|  -10.45|         6.42|                2|             5|              126|              414|    2695|  0.458|          12.300|  0.220|  0.147| -0.020|  6.325|             |                 |            1.77|                  0.38|            30.67|                   8.38|            2.60|                  0.53|COCD          |ass         |           |                 |                    0|Parameters have been strongly changed compared to COCD; 4 brightest members are B-stars.                                                                                                                                                                 |                          OB ASSOCIATION/HII REGION|
|         2637|Pismis 26        |g         |o             |17 36 10|-38 33.0|350.799| -3.421|      0.025|         0.065|         0.110|  -6.88|   4.10|        0.78| -184.40|         2.20|                 |             5|               52|              137|    8201|  1.239|          14.968|  0.595|  0.397|  0.000| 10.050|             |                 |            6.76|                  0.70|            16.61|                   1.12|            8.20|                  1.13|HARR          |glo         |     -0.700|                 |                   52|Ton_2, vdBergh-Hagen_236; PMs in center are poor/absent due to crowding; uncertain RDP.                                                                                                                                                                  |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|         1363|NGC 2477         |          |              |07 52 08|-38 31.8|253.561| -5.842|      0.050|         0.310|         0.450|  -0.50|   2.00|        0.22|    7.32|         0.13|               49|            36|              770|             1209|    1450|  0.291|          10.901|  0.140|  0.093| -0.020|  8.915|        0.007|               32|            3.98|                  0.36|            15.47|                   1.15|           21.95|                  1.37|COCD          |            |     -0.192|            0.074|                    2|PMs in center are poor/absent due to crowding; parameters have been strongly changed compared to COCD.                                                                                                                                                   |                                  OPEN STAR CLUSTER|
|         1308|NGC 2451A        |          |              |07 41 20|-38 31.2|252.504| -7.675|      0.070|         0.625|         1.300| -21.80|  15.13|        0.61|   22.63|         4.49|                9|             3|               67|              297|     188|  0.000|           6.371|  0.000|  0.000| -0.020|  7.760|             |                 |            1.47|                  0.61|             4.56|                   1.42|           13.30|                  5.49|COCD          |            |     -0.531|            0.101|                    3|NGC_2451A and NGC_2451B are overlapping each other, their CMDs are mutually contaminated.                                                                                                                                                                |                                  OPEN STAR CLUSTER|
|         2532|ESO 332-20       |          |              |17 04 55|-38 19.0|347.494|  1.735|      0.012|         0.065|         0.110|   0.00|  -0.50|        1.30|        |             |                 |             1|               25|               73|    1695|  0.791|          11.400|  0.380|  0.253|  0.000|  8.050|             |                 |            1.68|                  0.38|             5.97|                   1.08|            5.97|                  1.14|DIAS          |            |           |                 |                    0|Sparse; poor RDP.                                                                                                                                                                                                                                        |                                  OPEN STAR CLUSTER|
|         4158|MWSC 4158        |          |              |12 44 28|-38 18.6|301.427| 24.541|      0.020|         0.115|         0.195|  -6.57|  -3.57|        1.12|        |             |                 |             2|               30|               80|    1616|  0.333|          11.150|  0.160|  0.107|  0.020|  9.020|        0.072|                3|            2.09|                  0.75|             7.65|                   1.51|            0.66|                  0.18|AIPk          |            |           |                 |                    0|Poor RDP.                                                                                                                                                                                                                                                |                                  OPEN STAR CLUSTER|
|         2564|vdBergh-Hagen 222|          |              |17 18 45|-38 17.7|349.114| -0.443|      0.012|         0.085|         0.165|  -1.31|  -2.92|        1.13|        |             |                 |             1|               26|               78|    7813|  1.666|          15.000|  0.800|  0.534|  0.000|  7.900|             |                 |            4.77|                  0.74|            44.52|                   7.36|            0.95|                  0.09|DIAS          |            |           |                 |                    0|Sparse; poor RDP.                                                                                                                                                                                                                                        |                                  OPEN STAR CLUSTER|
|         1379|Ruprecht 152     |r         |o             |07 54 31|-38 13.2|253.529| -5.285|      0.010|         0.060|         0.090|   1.12|  10.78|        0.85|        |             |                 |             2|               26|               49|    3629|  0.625|          13.000|  0.300|  0.200|  0.000|  9.285|        0.050|                6|            2.41|                  1.06|             9.08|                   3.23|            0.73|                  0.26|DIAS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1649|ESO 314-14       |r         |o             |09 19 31|-38 07.9|263.565|  8.044|      0.018|         0.070|         0.115|  -7.46|   6.98|        1.06|        |             |                 |             4|               22|               46|    1870|  0.750|          11.600|  0.360|  0.240|  0.040|  8.650|             |                 |            0.41|                  0.16|             7.34|                   3.24|            8.01|                  3.54|DIAS          |            |           |                 |                    0|Sparse; poor RDP; center is shifted to 9.3252h,-38.132d.                                                                                                                                                                                                 |                                  OPEN STAR CLUSTER|
|         1530|Ruprecht 66      |          |              |08 40 28|-38 03.3|258.462|  2.286|      0.010|         0.065|         0.125|  -6.37|   9.67|        0.87|        |             |                 |             2|               31|               91|    3552|  0.770|          13.000|  0.370|  0.247|  0.000|  8.910|        0.043|               13|            2.07|                  0.57|            12.80|                   3.46|            1.53|                  0.26|DIAS          |            |           |                 |                    0|Center is shifted to 8.6745h,-38.055d.                                                                                                                                                                                                                   |                                  OPEN STAR CLUSTER|
|         1569|ASCC 49          |          |              |08 47 51|-38 00.0|259.319|  3.461|      0.030|         0.160|         0.270|  -7.00|   3.40|        0.65|        |             |                 |             4|               75|              216|     629|  0.021|           9.000|  0.010|  0.007| -0.050|  7.895|             |                1|            0.96|                  0.56|             4.94|                   2.66|            4.16|                  1.16|COCD          |            |           |                 |                    0|Teutsch_38.                                                                                                                                                                                                                                              |                                  OPEN STAR CLUSTER|
|         2530|NGC 6281         |          |              |17 04 41|-37 58.8|347.734|  1.976|      0.025|         0.170|         0.320|  -2.96|  -3.75|        0.38|  -15.43|             |                1|             5|              153|              415|     512|  0.192|           8.608|  0.092|  0.061| -0.040|  8.500|        0.062|                6|            2.41|                  0.71|             4.10|                   0.57|           41.12|                 24.02|COCD          |            |      0.000|                 |                    0|Nearby; sparse.                                                                                                                                                                                                                                          |                                  OPEN STAR CLUSTER|
|         2817|FSR 1774         |r         |o             |18 08 44|-37 56.4|354.552| -8.645|      0.010|         0.085|         0.130|   2.72|  -0.99|        1.17|        |             |                 |             1|               18|               36|    1935|  0.208|          11.500|  0.100|  0.067|  0.035|  9.000|             |                 |            0.65|                  0.23|             9.59|                   3.81|            5.86|                  1.91|FPOS          |            |           |                 |                    0|Sparse.                                                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|         2584|Ruprecht 123     |          |              |17 23 31|-37 55.5|349.952| -1.003|      0.020|         0.085|         0.155|   0.65|  -2.00|        0.77|        |             |                 |             4|               38|              148|     929|  0.187|           9.900|  0.090|  0.060| -0.020|  8.100|             |                 |            1.69|                  0.27|             5.24|                   0.61|           17.86|                  2.77|DIAS          |            |           |                 |                    0|Variable reddening; poor RDP; center is shifted to 17.3906h,-37.900d.                                                                                                                                                                                    |                                  OPEN STAR CLUSTER|
|         1626|FSR 1402         |          |              |09 05 46|-37 52.5|261.515|  6.236|      0.020|         0.090|         0.195|  -7.51|  -0.78|        1.17|        |             |                 |             3|               17|               83|    2889|  1.853|          12.900|  0.890|  0.594|  0.090|  7.395|        0.079|                6|            1.73|                  0.65|            16.70|                   6.83|            1.04|                  0.28|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2317|NGC 5986         |g         |o             |15 46 03|-37 47.2|337.022| 13.269|      0.030|         0.090|         0.165| -10.52|  -1.48|        1.06|   88.90|         3.70|                 |             0|               33|              119|   10517|  0.281|          15.200|  0.135|  0.090|  0.000| 10.100|             |                 |            3.70|                  0.25|            27.52|                   1.86|            9.17|                  0.48|HARR          |glo         |     -1.345|                 |                   33|PMs in center are poor/absent due to crowding.                                                                                                                                                                                                           |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|         2581|DBSB 120         |          |              |17 23 13|-37 45.5|350.056| -0.859|      0.017|         0.050|         0.090|   2.76|  -0.47|        0.93|        |             |                 |             3|               28|               75|    5483|  1.103|          14.050|  0.530|  0.354| -0.020|  6.000|             |                 |            5.62|                  1.12|            21.93|                   3.32|            0.26|                  0.04|BOPN          |irc         |           |                 |                    0|Variable reddening; poor RDP.                                                                                                                                                                                                                            |                                  OPEN STAR CLUSTER|
|         1544|ESO 313-11       |          |              |08 43 43|-37 42.0|258.575|  3.009|      0.010|         0.033|         0.075|  -3.70|   5.59|        1.68|        |             |                 |             2|               10|               40|    3010|  0.333|          12.500|  0.160|  0.107|  0.000|  9.500|             |                 |            2.03|                  0.80|             6.19|                   1.74|            1.61|                  0.62|DIAS          |non         |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2651|Collinder 338    |          |              |17 38 12|-37 42.0|351.732| -3.304|      0.025|         0.160|         0.275|   1.24|  -2.87|        0.54|        |             |                 |             7|              106|              297|     698|  0.250|           9.300|  0.120|  0.080|  0.000|  8.050|             |                 |            1.85|                  0.27|             5.10|                   0.53|           35.92|                  6.10|COCD          |            |           |                 |                    0|Distance and age have been changed compared to COCD; center is shifted to 17.6367h,-37.700d.                                                                                                                                                             |                                  OPEN STAR CLUSTER|
|         1322|NGC 2451B        |          |              |07 44 28|-37 40.2|252.055| -6.726|      0.040|         0.200|         0.410| -10.10|   6.21|        0.55|   13.70|         7.13|                3|             3|               61|              215|     489|  0.167|           8.500|  0.080|  0.053| -0.020|  8.230|             |                 |            0.51|                  0.27|             4.66|                   2.63|           11.40|                  3.68|COCD          |            |     -0.450|                 |                    0|NGC_2451B and NGC_2451A are overlapping each other, their CMDs are mutually contaminated; age has been strongly changed compared to COCD.                                                                                                                |                                  OPEN STAR CLUSTER|
|         1506|ASCC 48          |          |              |08 34 39|-37 37.8|257.428|  1.627|      0.020|         0.100|         0.170| -10.75|  10.43|        0.91|   22.50|         0.01|                2|             1|               21|               51|     550|  0.000|           8.702|  0.000|  0.000| -0.020|  9.185|        0.021|                3|            0.50|                  0.20|             2.71|                   1.01|           14.21|                  3.52|COCD          |            |           |                 |                    0|Teutsch_38; sparse; center is shifted to 8.5775h;-37.630d.                                                                                                                                                                                               |                                  OPEN STAR CLUSTER|
|         3087|ESO 337-23       |r         |c             |19 19 18|-37 37.2|  0.506|-21.336|      0.010|         0.050|         0.100|   0.66|  -8.84|        2.27|        |             |                 |             1|                8|               20|    1995|  0.312|          11.600|  0.150|  0.100|  0.000|  9.200|             |                1|            0.94|                  0.22|             4.45|                   0.86|            9.43|                  1.72|DIAS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1447|NGC 2546         |          |              |08 11 51|-37 36.6|254.824| -2.060|      0.040|         0.275|         0.565|  -5.21|   5.10|        0.24|   36.00|         4.10|                1|            14|              346|             1267|     935|  0.146|           9.901|  0.070|  0.047| -0.020|  8.135|        0.072|                7|            1.24|                  0.26|            21.77|                   8.01|            7.11|                  1.23|COCD          |            |      0.120|            0.130|                    2|Sparse.                                                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|         1591|Ruprecht 72      |          |              |08 52 03|-37 36.6|259.541|  4.351|      0.010|         0.045|         0.100|  -3.89|   3.89|        1.63|        |             |                 |             2|               12|               47|    2242|  0.146|          11.800|  0.070|  0.047| -0.040|  9.400|             |                 |            0.65|                  0.24|             7.07|                   2.75|            4.04|                  1.45|DIAS          |            |           |                 |                    0|Overlaps with Ruprecht_158.                                                                                                                                                                                                                              |                                  OPEN STAR CLUSTER|
|         2966|FSR 1782         |r         |c             |18 38 17|-37 33.6|357.491|-13.738|      0.020|         0.080|         0.140|  -4.22|  -1.40|        1.06|        |             |                 |             2|               26|               84|    2650|  0.416|          12.250|  0.200|  0.133|  0.025|  9.175|        0.044|               11|            4.15|                  1.47|             9.02|                   1.91|            2.30|                  1.24|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1592|Ruprecht 158     |          |              |08 52 26|-37 33.3|259.548|  4.446|      0.012|         0.055|         0.125|  -1.30|   2.32|        1.45|        |             |                 |             2|               15|               75|    2720|  0.396|          12.300|  0.190|  0.127|  0.000|  9.150|             |                 |            2.02|                  0.82|            10.03|                   3.58|            0.65|                  0.19|DREM          |ast         |           |                 |                    0|Overlaps with Ruprecht_72.                                                                                                                                                                                                                               |                                  OPEN STAR CLUSTER|
|         1226|DC 3             |          |              |07 27 00|-37 31.5|250.282| -9.710|      0.020|         0.055|         0.100|  -1.61|   4.99|        1.35|        |             |                 |             5|               17|               37|    4317|  0.541|          13.350|  0.260|  0.173|  0.000|  9.260|             |                 |            2.03|                  0.68|             9.24|                   2.68|            1.46|                  0.35|DIAS          |            |           |                 |                    0|SIMBAD: [D2005c]                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         4211|MWSC 4211        |          |              |15 31 35|-37 29.4|334.875| 15.256|      0.035|         0.147|         0.240|  -8.27|  -3.97|        0.56|        |             |                 |             7|               84|              190|    2361|  0.729|          12.100|  0.350|  0.233|  0.000|  8.820|        0.035|               13|            5.71|                  2.12|            13.60|                   3.21|            1.23|                  0.64|AIPk          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2702|ASCC 91          |          |              |17 48 50|-37 22.2|353.117| -4.932|      0.010|         0.130|         0.220|   2.00|  -4.20|        0.80|        |             |                 |             1|               51|              185|     858|  0.104|           9.701|  0.050|  0.033|  0.020|  8.650|             |                 |            2.12|                  0.46|             5.13|                   0.71|           13.38|                  3.90|COCD          |            |     -0.035|            0.080|                    1|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2279|FSR 1720         |          |              |15 11 29|-37 21.9|331.516| 17.614|      0.020|         0.100|         0.185|  -5.65|   0.28|        0.77|        |             |                 |             2|               45|              127|    3066|  0.208|          12.500|  0.100|  0.067|  0.000|  9.330|             |                 |            2.07|                  0.50|            15.78|                   3.79|            1.57|                  0.28|FPOS          |            |           |                 |                    0|Center is shifted to 15.1915h,-37.365d.                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|         2506|NGC 6256         |g         |o             |16 59 33|-37 07.3|347.792|  3.307|      0.020|         0.070|         0.120|  -3.85|  -0.63|        0.56| -101.40|         1.90|                 |             3|               82|              202|   10296|  1.093|          15.415|  0.525|  0.350| -0.010| 10.100|             |                 |            1.82|                  0.20|            39.91|                   4.93|            6.82|                  0.86|HARR          |glo         |     -1.020|                 |                   82|PMs in center are poor/absent due to crowding.                                                                                                                                                                                                           |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|         1655|Ruprecht 74      |          |              |09 21 00|-37 07.0|263.037|  8.963|      0.010|         0.035|         0.075|  -5.43|   3.25|        1.52|        |             |                 |             2|               10|               22|    3074|  0.812|          12.700|  0.390|  0.260|  0.000|  8.900|             |                 |            0.91|                  0.35|             7.02|                   2.71|            2.09|                  0.67|DIAS          |dub         |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1466|Pismis 1         |          |              |08 18 18|-37 06.0|255.112| -0.711|      0.010|         0.035|         0.075|  -3.59|   4.49|        1.11|        |             |                 |             3|                7|               11|    5903|  0.583|          14.043|  0.280|  0.187|  0.000|  7.800|             |                 |            1.61|                  0.41|            14.91|                   3.86|            1.21|                  0.29|DIAS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1713|FSR 1451         |r         |o             |09 47 37|-37 03.3|266.922| 12.651|      0.015|         0.065|         0.115|  -3.81|   3.59|        1.29|        |             |                 |             2|               19|               49|    1470|  0.510|          11.001|  0.245|  0.163|  0.035|  8.500|             |                 |            0.40|                  0.13|             6.07|                   2.18|           12.04|                  4.24|FPOS          |            |           |                 |                    0|Sparse; poor RDP.                                                                                                                                                                                                                                        |                                  OPEN STAR CLUSTER|
|         2713|NGC 6441         |g         |o             |17 50 13|-37 03.1|353.533| -5.006|      0.040|         0.080|         0.125|   2.50|  -4.03|        1.58|   16.50|         1.00|                 |             0|               19|               56|   11610|  0.468|          15.475|  0.225|  0.150|  0.000| 10.050|             |                 |            7.03|                  0.69|            24.64|                   1.89|            2.47|                  0.21|HARR          |glo         |     -0.460|                 |                   19|PMs in center are poor/absent due to crowding and light pollution from star HR 6630  (K2 III, K=0.621).                                                                                                                                                  |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|         1166|Collinder 135    |          |              |07 17 56|-37 02.1|249.023|-11.109|      0.040|         0.200|         0.520|  -9.33|   5.26|        0.85|   15.35|         2.20|                4|             6|               34|              217|     361|  0.042|           7.801|  0.020|  0.013| -0.050|  7.600|             |                 |            2.10|                  0.82|             4.02|                   0.82|           26.74|                 18.41|COCD          |            |     -0.219|            0.096|                    5|Nearby srarse; center is shifted to 7.2990h, -37.035d; a hole is around HD 57034 (K 8.233).                                                                                                                                                              |                                  OPEN STAR CLUSTER|
|         2660|NGC 6400         |          |              |17 40 12|-36 56.7|352.584| -3.240|      0.010|         0.100|         0.190|  -1.04|  -2.70|        0.61|        |             |                 |             2|               50|              174|     938|  0.198|           9.925|  0.095|  0.063| -0.020|  8.875|             |                 |            0.65|                  0.10|             5.31|                   0.86|           41.90|                  4.46|COCD          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2983|FSR 1785         |r         |c             |18 44 07|-36 56.5|358.553|-14.555|      0.015|         0.055|         0.090|  -0.43|  -3.54|        1.70|        |             |                 |             2|               12|               34|    4080|  0.146|          13.100|  0.070|  0.047| -0.020|  9.400|             |                 |            1.70|                  1.15|            14.32|                   8.45|            0.14|                  0.09|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
