

Results from heasarc_mwsc: Milky Way Star Clusters Catalog
Coordinate system:  Equatorial
|source_number|name             |broad_type|cluster_status|ra      |dec     |lii    |bii    |core_radius|central_radius|cluster_radius|pm_ra  |pm_dec |pm_tot_error|rad_vel |rad_vel_error|num_rad_vel_stars|num_core_stars|num_central_stars|num_cluster_stars|distance|e_bv   |distance_modulus|e_jk   |e_jh   |delta_h|log_age|log_age_error|num_log_age_stars|king_core_radius|king_core_radius_error|king_tidal_radius|king_tidal_radius_error|king_norm_factor|king_norm_factor_error|reference_code|cluster_type|metallicity|metallicity_error|num_metallicity_stars|comments                                                                                                                                                                                                                                                 |class                                              |
|         2064|FSR 1631         |          |              |12 45 43|-81 15.5|302.703|-18.389|      0.025|         0.110|         0.180|  -6.22|  -2.52|        0.76|        |             |                 |             5|               51|              100|    1456|  0.104|          10.849|  0.050|  0.033|  0.000|  9.500|             |                 |            0.52|                  0.20|             7.19|                   3.10|            9.17|                  3.30|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2049|FSR 1629         |          |              |12 34 55|-80 57.0|302.249|-18.100|      0.020|         0.095|         0.170|  -9.08|  -1.46|        0.98|        |             |                 |             5|               32|               78|    3597|  0.062|          12.800|  0.030|  0.020| -0.015|  9.700|             |                 |            1.62|                  0.48|            19.87|                   6.56|            1.75|                  0.43|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         5688|MWSC 5688        |          |              |15 25 59|-80 07.8|309.442|-19.273|      0.015|         0.070|         0.105|  -6.58|  -8.25|        1.57|        |             |                 |             2|               12|               25|    1236|  0.281|          10.550|  0.135|  0.090|  0.040|  8.990|             |                 |            0.48|                  0.29|             4.86|                   3.21|            3.72|                  1.73|ARIs          |            |           |                 |                    0|Poor RDP.                                                                                                                                                                                                                                                |                                  OPEN STAR CLUSTER|
|         3341|ESO 026-02       |          |              |20 26 38|-80 00.0|313.587|-30.758|      0.015|         0.090|         0.160|   4.69|  -4.09|        1.18|        |             |                 |             1|               17|               44|    2473|  0.104|          12.000|  0.050|  0.033|  0.000|  9.700|             |                 |            1.44|                  0.76|            13.65|                   7.74|            0.80|                  0.28|DIAS          |dub         |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         4137|MWSC 4137        |          |              |09 26 11|-79 44.4|294.398|-20.463|      0.015|         0.105|         0.180|  -4.09|   8.78|        1.02|        |             |                 |             3|               32|               83|    1209|  0.271|          10.500|  0.130|  0.087| -0.010|  9.210|        0.030|                2|            0.40|                  0.22|             6.93|                   4.38|            7.77|                  4.27|AIPk          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1535|Mamajek 1        |m         |o             |08 41 53|-79 02.7|292.492|-21.672|      0.030|         0.190|         0.420| -29.41|  27.40|        2.16|   15.05|         1.05|                2|             1|                5|               19|     112|  0.000|           5.246|  0.000|  0.000|  0.000|  6.990|             |                 |            0.10|                  0.03|             0.84|                   0.25|          384.03|                114.22|COCD          |            |           |                 |                    0|Nearby.                                                                                                                                                                                                                                                  |                                       UNIDENTIFIED|
|         3299|Melotte 227      |r         |o             |20 16 48|-79 02.4|314.806|-30.613|      0.040|         0.180|         0.330|   4.61|  -7.30|        0.91|        |             |                 |             5|               41|              137|    2218|  0.062|          11.750|  0.030|  0.020|  0.000|  9.700|             |                 |            9.57|                  9.90|            19.40|                  11.06|            0.13|                  0.22|DREM          |ast         |           |                 |                    0|Dias: asterism; NKh: old loose cluster; poor RDP.                                                                                                                                                                                                        |                                  OPEN STAR CLUSTER|
|         5679|MWSC 5679        |          |              |09 33 00|-78 58.2|294.027|-19.708|      0.012|         0.085|         0.155|  -3.67|   6.21|        1.15|        |             |                 |             1|               26|               51|    1122|  0.468|          10.400|  0.225|  0.150| -0.010|  8.500|             |                 |            1.14|                  0.24|             4.64|                   0.87|           13.74|                  2.22|ARIs          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         5572|MWSC 5572        |          |              |01 54 18|-78 57.9|299.175|-37.701|      0.020|         0.070|         0.140|   3.27| -11.38|        2.36|        |             |                 |             2|                7|               14|    1472|  0.187|          10.900|  0.090|  0.060|  0.040|  9.300|             |                 |            0.98|                  0.30|             6.99|                   2.15|            3.05|                  0.72|ARIs          |            |           |                 |                    0|Poor VPD.                                                                                                                                                                                                                                                |                                  OPEN STAR CLUSTER|
|         5749|MWSC 5749        |          |              |20 32 10|-78 36.9|315.019|-31.450|      0.012|         0.090|         0.150|   4.00|  -3.90|        0.89|        |             |                 |             3|               29|               47|    1890|  0.364|          11.500|  0.175|  0.117|  0.020|  9.345|             |                 |            0.92|                  0.25|            10.24|                   3.03|            6.45|                  1.30|ARIs          |            |           |                 |                    0|Center is shifted to 20.5360h,-78.615d.                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|         2208|ESO 021-06       |          |              |14 15 52|-78 30.9|307.217|-16.352|      0.025|         0.090|         0.165|  -3.04|  -5.85|        0.92|        |             |                 |             3|               32|               89|    2473|  0.104|          12.000|  0.050|  0.033|  0.000|  9.500|             |                 |            2.34|                  0.62|            15.64|                   4.13|            1.84|                  0.22|DIAS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         5672|MWSC 5672        |          |              |07 15 20|-78 26.4|290.191|-25.352|      0.013|         0.075|         0.135|  -6.55|  10.11|        1.92|        |             |                 |             1|               13|               33|    1288|  0.468|          10.700|  0.225|  0.150|  0.000|  9.490|             |                 |            0.34|                  0.21|             5.48|                   3.79|            6.60|                  4.15|ARIs          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
