GLON,GLAT,RAJ2000,DEJ2000,Diam-a,Diam-b,Name,Class1,Class2,Com,Code,recno
296.76,-1.11,11 56 03,-63 18 57,1.2,1.2,VVV 9|VVV-CL 009,OC   ,     ,inc WR *                        ,REF903|REF1170                                 ,8221
296.79,-0.48,11 57 30,-62 42 30,5,4,Ruprecht 97|OCL 867|BH 124|ESO 130-3|MWSC 1997,OC   ,     ,                                ,REF239                                         ,8222
297.07,1.39,12 02 55,-60 55 30,14,14,AT 8|Alessi-Teutsch 8|ASCC 68|MWSC 1993,OC   ,     ,                                ,REF298|REF306|REF891|REF913                    ,8231
297.31,-2.28,11 58 45,-64 34 43,10,8,Ruprecht 98|OCL 868|BH 125|ESO 94-9|MWSC 1988,OC   ,lPOCR,                                ,REF239                                         ,8242
297.4,-0.88,12 02 03,-63 13 24,9,8,NGC 4052|Collinder 251|OCL 870|BH 126|ESO 94-10|MWSC 1991,OC   ,     ,                                ,REF239                                         ,8249
297.53,-1.75,12 01 41,-64 06 00,4,4,Juchert 13|DSH J1201.6-6406|FSR 1600|MWSC 1992,OC   ,     ,faint stars                     ,REF298|REF1015|REF3032|REF3033                 ,8256
297.57,1.15,12 06 41,-61 15 30,9,8,NGC 4103|Melotte 109|Collinder 252|OCL 871|BH 127|ESO 130-5|MWSC 1997,OC   ,     ,                                ,REF239                                         ,8257
297.66,-1.49,12 03 17,-63 52 22,5,5,Ruprecht 99|OCL 872|ESO 94-11|MWSC 1994,OC   ,lPOCR,                                ,REF239                                         ,8261
297.77,1.55,12 08 50,-60 53 08,20,20,Loden 565|OCL 873.1|MWSC 2000,OC   ,     ,                                ,REF238                                         ,8267
298.24,-2.33,12 07 08,-64 48 02,1.3,1.3,Juchert 14|DSH J1207.1-6448,OC   ,     ,                                ,REF1070                                        ,8274
298.28,4.13,12 15 57,-58 25 35,4,2.5,Ruprecht 103|OCL 876|ESO 130-11|MWSC 2012,OC   ,     ,                                ,REF239|REF300|REF920                           ,8277
298.37,-20.3,10 41 46,-82 00 05,14,14,MWSC 5681,OC   ,     ,                                ,REF1098                                        ,8279
298.38,-2.71,12 07 52,-65 11 38,6,6,FSR 1605|MWSC 1999,OC   ,     ,contaminated                    ,REF507|REF3033                                 ,8280
298.51,-0.17,12 12 41,-62 42 31,0.3,0.3,VVV 11|VVV-CL 011,OC   ,     ,inc WR star                     ,REF903|REF1170                                 ,8286
298.6,-0.15,12 13 33,-62 42 29,5,5,NGC 4184|Ruprecht 102|OCL 877|BH 128|ESO 130-10|MWSC 2007,OC   ,     ,                                ,REF226|REF239                                  ,8293
298.71,-15.59,11 32 58,-77 49 02,12,12,FSR 1607|MWSC 1955,OC   ,     ,contaminated                    ,REF507                                         ,8295
298.79,-1.02,12 14 04,-63 35 40,2,1.5,Saurer 4|MWSC 2009,OC   ,     ,bright star superimposed        ,REF208                                         ,8297
298.91,14.23,12 27 53,-48 27 28,7,7,FSR 1609|MWSC 2034,OC   ,     ,                                ,REF507                                         ,8305
299.01,-1.83,12 15 00,-64 25 48,36,36,ASCC 70|Alessi 38|MWSC 2010,OC   ,     ,                                ,REF306|REF891                                  ,8307
299.05,-7.24,12 06 36,-69 46 12,48,48,ASCC 69|MWSC 1996,OC   ,     ,                                ,REF306                                         ,8309
299.18,-37.7,01 54 19,-78 58 03,17,19,MWSC 5572,OC   ,     ,                                ,REF1098                                        ,8314
299.31,4.55,12 24 06,-58 07 25,7,7,NGC 4337|Collinder 254|OCL 878|BH 129|ESO 131-2|FSR 1611|MWSC 2023,OC   ,     ,                                ,REF239|REF1020|REF3032|REF3033                 ,8317
299.38,3.02,12 23 19,-59 39 38,10,8.5,ESO 130-13|FSR 1612|MWSC 2021|MWSC 2022,OC   ,     ,                                ,REF234|REF507|REF1015|REF3033                  ,8323
299.65,2.27,12 24 54,-60 25 40,4.5,4,Ruprecht 104|OCL 879|ESO 131-4|MWSC 2028,OC   ,     ,                                ,REF239                                         ,8331
299.66,-2.11,12 20 44,-64 47 45,8,8,Loden 615|OCL 879.1|ESO 95-6|MWSC 2015,OC   ,     ,                                ,REF238                                         ,8332
299.72,0.82,12 24 10,-61 52 25,16,16,NGC 4349|Melotte 110|Collinder 255|OCL 882|BH 130|ESO 131-3|FSR 1614|MWSC 2024,OC   ,     ,                                ,REF239|REF3032|REF3033                         ,8337
299.75,6.32,12 28 35,-56 24 35,22,19,Ruprecht 165|OCL 881|ESO 172-1|MWSC 2036,OC   ,     ,                                ,REF239                                         ,8338
299.98,1.96,12 27 16,-60 46 08,9,9,Harvard 5|Collinder 258|Collinder 257|OCL 880|BH 133|ESO 131-5|HD 108353|MWSC 2033|MWSC 2027,OC   ,     ,                                ,REF239|REF278                                  ,8346
299.99,-4.82,12 20 42,-67 31 12,49,49,ASCC 71|MWSC 2016,OC   ,     ,                                ,REF306                                         ,8347
300.02,4.88,12 29 39,-57 52 05,7.5,7.5,ESO 131-9|MWSC 2041,OC   ,     ,                                ,REF234|REF1015                                 ,8349
300.13,-0.67,12 26 22,-63 24 50,5,5,BH 131|FSR 1615|MWSC 2030,OC   ,     ,                                ,REF233|REF778|REF3032|REF3033                  ,8353
300.2,1.82,12 28 56,-60 55 52,10,10,Hogg 23|OCL 884.2|MWSC 2038,OC   ,lPOCR,                                ,REF239                                         ,8356
300.22,-15.61,11 59 51,-78 12 27,18,18,epsilon Chamaeleontis|Feigelson 1|MWSC 1990,OC   ,     ,5 Myr| d=117pc                  ,REF324|REF1730                                 ,8359
300.26,-1.3,12 27 03,-64 03 05,5,3.5,BH 132|MWSC 2032,OC   ,     ,                                ,REF233                                         ,8362
300.39,-0.68,12 55 21,-61 04 48,1.1,1.1,LS 52|La Serena 52,OC   ,     ,                                ,REF3050                                        ,8368
300.48,-33.75,01 59 46,-83 03 09,18,18,MWSC 5575,OC   ,     ,                                ,REF1098                                        ,8374
300.64,-2.01,12 29 58,-64 47 28,6.5,6.5,NGC 4463|Collinder 260|OCL 885|BH 135|ESO 95-10|MWSC 2042,OC   ,     ,                                ,REF239                                         ,8378
300.67,-3.81,12 28 44,-66 34 52,5,5,FSR 1617|MWSC 2039,OC   ,     ,contaminated                    ,REF507                                         ,8379
300.91,1.23,12 34 30,-61 34 30,13,13,Ruprecht 105|OCL 886|ESO 131-12|Slotegraaf 41|MWSC 2047,OC   ,lPOCR,                                ,REF239|REF913                                  ,8384
