"CWNU_id","l","b","sig_l","sig_b","n","plx","sig_plx","pmx","sig_pmx","pmy","sig_pmy","rv","sig_rv","nrv","logage","A0","m-M","class"
2792,319.131,0.353,0.165,0.096,125,0.405,0.064,-4.516,0.166,-2.812,0.127,-26.4,7.76,8,8.35,4.5,11.75,2
2793,300.892,-1.404,0.207,0.112,13,0.225,0.042,-5.994,0.048,0.141,0.067,-23.19,,1,9.35,2.35,12.8,2
2794,224.515,-0.69,0.41,0.195,89,0.293,0.067,-0.806,0.114,1.47,0.094,78.03,,1,8.55,2.95,12.75,2
2795,329.105,-0.178,0.081,0.063,74,0.351,0.073,-2.504,0.091,-3.871,0.09,-32.61,4.8,9,8.8,5.6,11.9,2
2796,204.743,-4.736,0.426,0.232,68,0.269,0.096,0.246,0.132,0.055,0.158,78.04,,1,9.35,0.95,13,2
2797,314.083,-0.13,0.062,0.062,67,0.324,0.064,-5.27,0.106,-2.931,0.083,-68.41,4.13,10,6,4.3,12.15,2
2798,14.308,0.137,0.142,0.122,103,0.339,0.074,-0.793,0.128,-2.527,0.154,0.7,18.91,4,6.1,6.1,12.95,2
2799,222.635,-5.293,0.31,0.212,120,0.279,0.073,-0.258,0.177,1.087,0.23,46.15,18.87,4,9.05,1.75,12.2,2
2800,232.218,2.101,0.052,0.227,23,0.253,0.091,-1.262,0.071,1.473,0.18,,,0,8.9,1.3,13.1,2
2801,312.206,-0.293,0.13,0.047,65,0.327,0.051,-5.531,0.087,-2.193,0.102,-55.49,19.62,6,9.5,3.4,12,2
2802,59.477,0.741,0.148,0.053,11,0.493,0.037,-1.262,0.065,-3.166,0.061,-8.9,,1,6.2,1.45,11.7,2
2803,325.597,-0.274,0.06,0.125,11,0.354,0.045,-4.538,0.07,-4.325,0.036,,,0,8.75,5.1,11.7,2
2804,315.033,-0.67,0.121,0.045,12,0.306,0.051,-6.141,0.087,-3.315,0.063,,,0,6,3.4,13,2
2805,344.044,0.436,0.125,0.053,20,0.404,0.043,-1.34,0.249,-2.447,0.069,,,0,6.25,3.5,12.4,2
2806,82.403,-0.991,0.119,0.046,11,0.282,0.021,-3.337,0.07,-4.448,0.052,-29.25,,1,8.2,5.85,12.45,2
2807,21.933,-1.606,0.04,0.034,45,0.308,0.07,-0.199,0.077,-1.994,0.075,6.55,20.61,3,9.05,3.75,12.2,2
2808,71.73,-0.589,0.01,0.021,11,0.233,0.033,-2.508,0.071,-5.36,0.024,-15.1,1.78,2,9.1,2.7,13.05,2
2809,216.567,-3.395,0.375,0.205,87,0.284,0.087,-0.386,0.253,0.733,0.167,54.47,24,2,9.15,1.4,12.7,2
2810,34.374,-1.291,0.076,0.076,43,0.605,0.039,0.392,0.106,-4.616,0.114,5.48,0.39,5,8.45,5.95,10.85,2
2811,303.648,-0.793,0.17,0.024,10,0.222,0.025,-6.139,0.046,-0.305,0.05,,,0,8.95,2.95,14.05,2
2812,322.199,1.923,0.043,0.07,35,0.329,0.073,-4.909,0.082,-3.711,0.103,-73.07,0.62,3,9.35,4.65,11.95,2
2813,355.323,-0.436,0.206,0.059,33,0.368,0.06,-0.669,0.169,-2.009,0.146,7.85,,1,8.65,4.15,11.8,2
2814,260.496,-5.585,0.354,0.133,43,0.249,0.032,-2.508,0.086,4.199,0.14,,,0,9,2.45,13.15,2
2815,91.578,2.756,0.035,0.051,11,0.566,0.033,-2.967,0.021,-3.916,0.069,,,0,6.7,5.45,11.1,2
2816,331.979,-0.539,0.097,0.017,31,0.361,0.033,-2.923,0.089,-3.872,0.067,-64.09,,1,8.9,2.85,12.05,2
2817,268.558,0.663,0.201,0.185,30,0.619,0.05,-5.797,0.104,4.237,0.124,19.38,,1,8.55,2.85,10.9,2
2818,206.677,-3.696,0.266,0.205,30,0.305,0.057,0.329,0.108,0.023,0.139,46.24,9.48,2,9.15,1.8,12.9,2
2819,248.527,-2.581,0.369,0.21,29,0.31,0.065,-1.91,0.082,2.303,0.1,26.32,,1,8.95,2.95,12.5,2
2820,22.531,0.367,0.048,0.182,10,0.472,0.034,-0.217,0.059,-2.787,0.081,,,0,6.5,4.3,11.8,2
2821,305.676,0.897,0.089,0.112,33,0.303,0.042,-6.72,0.091,-1.18,0.134,-39.35,25.72,2,8.85,3.2,12.95,2
2822,267.918,-2.109,0.126,0.053,28,0.353,0.048,-4.079,0.108,3.89,0.072,,,0,9.45,2.1,12.5,2
2823,308.34,-0.717,0.024,0.024,26,0.36,0.053,-5.893,0.059,-1.794,0.058,-0.77,,1,8.8,3.55,11.95,2
2824,339.815,0.447,0.062,0.054,50,0.319,0.056,-1.761,0.142,-3.027,0.197,-34.89,15.22,6,7.35,4.85,12.15,2
2825,9.406,-0.478,0.043,0.044,42,0.348,0.046,0.507,0.056,-1.154,0.082,20.26,2.42,2,8.7,5.2,11.9,2
2826,309.562,-1.422,0.027,0.014,25,0.208,0.036,-6.937,0.07,-1.768,0.051,-69.52,4.39,2,8.95,3.75,13,2
2827,263.928,-4.656,0.068,0.047,24,0.276,0.057,-3.029,0.085,3.664,0.124,60.84,20.3,2,9.25,1.6,12.8,2
2828,118.537,5.73,0.271,0.09,24,0.245,0.047,-2.071,0.063,-0.323,0.128,-78.1,1.35,3,9.05,3.3,12.7,2
2829,11.88,1.53,0.143,0.061,24,0.667,0.087,-0.276,0.138,-1.328,0.088,,,0,6.75,1.35,10.65,2
2830,85.424,0.058,0.12,0.065,38,0.376,0.042,-2.793,0.095,-3.531,0.071,-50.18,13.15,2,8.75,2.85,11.95,2
2831,309.431,11.037,0.179,0.241,36,0.332,0.13,-5.802,0.131,-2.167,0.129,-34.38,,1,9.3,1.15,12.45,2
2832,318.067,0.971,0.123,0.072,23,0.383,0.066,-5.581,0.114,-3.312,0.083,-37.26,29.2,2,8.9,5.1,12.35,2
2833,222.654,-1.794,0.338,0.193,23,0.385,0.043,-0.643,0.211,-0.556,0.089,57.1,,1,8.95,2.35,12.1,2
2834,190.673,-3.511,0.351,0.28,22,0.396,0.061,0.538,0.134,-1.538,0.079,11.39,,1,9.15,1.75,11.9,2
2835,21.688,-0.74,0.107,0.047,22,0.446,0.037,0.25,0.096,-0.7,0.054,26.05,,1,9.15,4.55,11.5,2
2836,311.909,-2.25,0.034,0.045,21,0.322,0.061,-5.852,0.07,-2.589,0.051,-21.27,,1,6.7,3.25,12.75,2
2837,309.982,1.243,0.076,0.043,21,0.335,0.057,-6.649,0.087,-1.781,0.063,-12.38,,1,6.65,2.8,12.25,2
2838,140.532,2.308,0.388,0.097,21,0.321,0.069,-0.403,0.095,-0.184,0.105,-4.46,,1,8.45,3.7,12.05,2
2839,229.005,0.519,0.12,0.041,21,0.3,0.038,-1.196,0.114,1.29,0.108,66.99,,1,8.4,2,13.2,2
2840,222.999,-0.96,0.243,0.257,28,0.359,0.062,-1.185,0.149,1.611,0.087,84.13,21.15,3,8.85,1.3,11.9,2
2841,333.979,0.36,0.104,0.036,21,0.449,0.021,-2.608,0.055,-3.499,0.078,-44.64,,1,8.75,2.7,11.5,2
2842,152.603,-0.429,0.149,0.056,20,0.299,0.033,0.762,0.089,-1.025,0.046,-56.76,,1,8.9,3.2,12.65,2
2843,160.976,-2.149,0.127,0.142,29,0.35,0.067,0.011,0.147,-1.162,0.06,10.47,49.03,2,8.9,2.2,12.15,2
2844,80.501,0.636,0.132,0.094,29,0.74,0.064,0.367,0.107,-3.145,0.08,,,0,6.2,2.45,10.7,2
2845,246.846,-6.124,0.254,0.067,28,0.299,0.102,-1.177,0.114,2.229,0.115,96.33,,1,8.95,1.05,12.5,2
2846,299.845,-2.246,0.04,0.076,19,0.241,0.024,-6.488,0.088,0.302,0.048,,,0,8.95,1.9,13.2,2
2847,28.068,0.233,0.066,0.079,26,0.449,0.034,-0.823,0.053,-0.595,0.052,-27.18,1.34,4,8.75,3.8,11.55,2
2848,11.754,-1.334,0.024,0.02,19,0.505,0.015,0.47,0.072,-1.878,0.085,,,0,6.7,1.6,11.35,2
2849,160.652,3.833,0.433,0.197,25,0.335,0.09,0.675,0.112,-1.139,0.084,,,0,9.05,1.55,12.4,2
2850,26.648,4.128,0.172,0.136,18,0.655,0.089,0.596,0.195,-4.366,0.172,13.68,11.78,3,9.05,5.35,11.25,2
2851,117.098,6.118,0.089,0.105,24,0.353,0.074,-3.043,0.077,0.123,0.095,,,0,9.25,3.4,12.2,2
2852,156.746,0.482,0.212,0.084,17,0.306,0.052,0.391,0.062,-1.126,0.088,,,0,6.7,4.5,12.95,2
2853,222.723,-3.459,0.281,0.16,17,0.642,0.079,-1.108,0.088,-0.629,0.093,55.45,,1,8.9,1.9,10.7,2
2854,74.219,-3.473,0.12,0.052,22,0.351,0.046,-2.981,0.084,-4.989,0.174,-57.07,,1,7.05,4.1,12.45,2
2855,204.423,1.231,0.241,0.086,21,0.316,0.044,-0.436,0.107,-0.457,0.087,43.87,13.89,2,8.8,1.4,12.1,2
2856,167.463,5.217,0.249,0.096,21,0.347,0.079,0.108,0.091,-1.93,0.109,25.37,6.53,2,8.9,1.25,12.5,2
2857,6.084,-12.438,0.085,0.077,16,0.331,0.083,-1.189,0.191,-4.492,0.137,48.16,,1,9.55,0.65,12.65,2
2858,200.983,-0.579,0.144,0.079,19,0.359,0.054,-0.44,0.05,-1.308,0.091,,,0,6.3,0.7,12.75,2
2859,4.598,-1.668,0.046,0.07,19,0.483,0.033,0.605,0.03,-0.025,0.047,-51.14,0.14,3,9,3.45,11.5,2
2860,139.333,-0.303,0.089,0.094,19,0.383,0.042,-0.348,0.064,-0.65,0.073,-25.47,26.59,2,9.15,2.8,11.7,2
2861,98.086,-0.694,0.218,0.053,15,0.383,0.056,-4.11,0.045,-3.439,0.054,-56.3,19.2,2,8.75,1.75,11.65,2
2862,75.599,-4.046,0.14,0.068,18,0.318,0.063,-3.037,0.1,-4.537,0.103,-44.25,,1,6.85,2.45,12.3,2
2863,314.457,1.123,0.057,0.038,14,0.293,0.042,-6.529,0.017,-3.016,0.046,,,0,6.05,4.05,12.95,2
2864,21.208,-2.183,0.101,0.076,15,0.54,0.044,-0.993,0.086,-3.491,0.056,,,0,6.65,3.2,11.3,2
2865,21.726,-0.33,0.073,0.061,13,0.482,0.066,-0.234,0.074,-2.384,0.088,,,0,9,4.45,11.6,2
2866,243.122,-5.497,0.192,0.047,14,0.241,0.051,-1.657,0.121,2.253,0.102,59.05,,1,9.45,0.45,13.1,2
2867,317.186,-1.397,0.051,0.041,12,0.331,0.025,-4.665,0.089,-2.846,0.032,,,0,6.1,2.6,12.6,2
2868,317.343,0.604,0.296,0.128,50,0.41,0.084,-3.956,0.086,-2.838,0.1,-27.37,24.46,2,8.65,3.65,11.65,2
2869,262.986,0.647,0.081,0.228,37,0.409,0.055,-5.581,0.126,4.745,0.11,,,0,6.8,4.65,12.1,2
2870,349.573,-0.684,0.047,0.055,97,0.274,0.055,-1.036,0.094,-2.211,0.108,-44.83,14.27,2,6.25,6.65,13.2,2
2871,90.537,2.193,0.039,0.042,36,0.342,0.018,-4.067,0.118,-5.228,0.078,,,0,6.1,6,12.65,2
2872,357.525,0.507,0.051,0.03,12,0.517,0.059,-0.329,0.057,-2.343,0.023,,,0,8.7,3.35,11.2,3
2873,338.47,-0.293,0.04,0.02,12,0.342,0.039,-2.114,0.052,-4.187,0.035,-34.75,,1,8.45,3.5,12.05,3
2874,245.604,-3.301,0.058,0.059,12,0.294,0.07,-2.632,0.049,2.827,0.114,,,0,6.65,0.1,13.3,3
2875,309.95,11.294,0.073,0.068,12,0.45,0.046,-8.272,0.11,0.116,0.213,-37.43,,1,9.5,0.95,12.2,3
2876,184.035,2.293,0.119,0.021,12,0.552,0.043,-0.207,0.113,-2.325,0.041,,,0,9.25,1.2,11.55,3
2877,324.85,-0.756,0.024,0.018,12,0.347,0.01,-3.798,0.021,-3.001,0.04,-17.59,0.53,4,6.15,6.3,12.35,3
2878,129.29,3.042,0.027,0.039,11,0.179,0.012,-0.983,0.073,0.047,0.052,,,0,8.9,1.8,13.7,3
2879,154.6,6.535,0.194,0.165,15,0.572,0.044,-0.115,0.051,-1.311,0.062,,,0,6.95,0.55,11.15,3
2880,201.509,4.033,0.071,0.104,17,0.455,0.034,-0.278,0.04,-1.024,0.045,,,0,7.7,1,11.55,3
2881,117.558,1.628,0.09,0.046,16,0.604,0.012,-1.291,0.048,-0.775,0.023,,,0,7.2,2.2,11,3
2882,85.427,1.701,0.16,0.018,14,0.312,0.021,-2.567,0.069,-3.93,0.035,,,0,8.65,2,12.25,3
2883,234.579,6.463,0.138,0.124,14,0.407,0.045,-2.64,0.113,1.167,0.102,,,0,9,0.15,12.05,3
2884,8.925,1.396,0.048,0.045,15,0.53,0.023,0.362,0.053,-1.225,0.047,,,0,6,2.6,11.25,3
2885,337.911,-0.978,0.029,0.072,14,0.364,0.044,-2.255,0.051,-3.893,0.062,,,0,6.55,4.35,12.6,3
2886,296.206,-1.824,0.021,0.011,13,0.22,0.029,-6.292,0.034,0.9,0.058,,,0,8.9,1.55,13,3
2887,354.008,-1.706,0.044,0.034,13,0.369,0.035,0.414,0.03,-1.97,0.058,10.96,,1,8.8,4.15,11.9,3
2888,306.835,0.313,0.047,0.026,14,0.453,0.013,-3.944,0.046,-0.985,0.042,,,0,6.95,2.6,11.6,3
2889,226.609,-4.921,0.33,0.064,13,0.286,0.047,-0.413,0.068,1.714,0.137,,,0,9.8,0.5,12.75,3
