#
# http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=B/ocl/clusters
#
"P","Cluster","RAJ2000","DEJ2000","Class","Diam","Dist","E(B-V)","Age","pmRA","e_pmRA","pmDE","e_pmDE","Nc","K14","RV","e_RV","o_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","TrType","WEBDA","Lynga","recno","r_pmRA","r_RV"
" ","Stock 20         ","00 25 15","+62 37 00","  ",4,1100,0.2,8.337,-2.53,0.24,2.51,0.25,82,"K14","       ","     ","   ","      ","      ","  ","2-2-p-* ","WEBDA","Lynga",28,"D14",
"P","NGC 103          ","00 25 16","+61 19 24","  ",4,3026,0.406,8.126,-3.44,0.04,-0.32,0.05,101,"K14",-116.7,10,1,"      ","      ","  ","        ","WEBDA","Lynga",29,"D14","D14"
"P","Berkeley 2       ","00 25 18","+60 24 00","  ",2,5250,0.8,8.9,0.88,0.54,-2.5,0.54,14,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",30,"K12",
" ","FSR 0494         ","00 25 32","+63 45 28","IR",0.8,5087,0.521,9.3,-2.87,0.29,-2.72,0.29,9,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",31,"K12",
" ","FSR 0496         ","00 26 58","+64 02 00","IR",4.9,1123,0.77,9.055,-1.13,0.23,0.09,0.28,64,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",32,"D14",
" ","NGC 110          ","00 27 25","+71 23 00","  ",12,1290,0.42,9,0.01,0.16,-3.47,0.09,408,"K14","       ","     ","   ","      ","      ","  ","-1-p-*  ","WEBDA","Lynga",33,"D14",
" ","SAI 6            ","00 27 53","+60 41 21","  ",5,2700,0.89,8.5,0.51,0.17,-0.03,0.17,77,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",34,"D14",
" ","FSR 0498         ","00 29 13","+62 24 57","IR",1.5,1800,0.15,8.55,-3.62,0.76,-0.1,0.14,19,"K14","       ","     ","   ",-0.34,0.07,1,"        ","WEBDA","Lynga",35,"D14",
"P","NGC 129          ","00 30 00","+60 13 06","  ",19,1625,0.548,7.886,-1.23,0.07,-0.51,0.03,764,"K14",-37.36,0.46,2,"      ","      ","  ","        ","WEBDA","Lynga",36,"D14","MMU"
" ","Stock 21         ","00 30 25","+57 55 25","  ",4,1700,0.416,8.825,-2.45,0.24,-2.72,0.1,62,"K14","       ","     ","   ","      ","      ","  ","4-2-p-* ","WEBDA","Lynga",37,"D14",
" ","ASCC 3           ","00 31 09","+55 16 48","  ",25.2,1700,0.17,7.9,0.85,0.12,-2.75,0.06,877,"K14",-37,7.4,1,"      ","      ","  ","        ","WEBDA","Lynga",38,"D14","D14"
"P","NGC 133          ","00 31 19","+63 21 00","  ",7,630,0.6,7,-0.7,4.7,-0.4,3.6,8,"K14","       ","     ","   ","      ","      ","  ","4-1-p-* ","WEBDA","Lynga",39,"Car",
" ","NGC 136          ","00 31 33","+61 30 30","  ",4,5220,0.7,8.4,-0.38,0.14,1.21,0.16,100,"K14","       ","     ","   ",-0.05,0.06,1,"        ","WEBDA","Lynga",40,"D14",
"P","King 14          ","00 32 03","+63 09 20","  ",8,2960,0.34,7.9,-2.25,0.19,0.73,0.01,227,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",41,"D14",
"P","King 15          ","00 32 54","+61 52 00","  ",3,3162,0.7,8.4,0.32,0.14,0.49,0.01,48,"K14","       ","     ","   ",0.07,"      ","  ","        ","WEBDA","Lynga",42,"D14",
"P","NGC 146          ","00 32 58","+63 20 03","  ",5.5,3470,0.55,7.11,-2.77,0.22,0.33,0.07,110,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",43,"D14",
" ","Patchick 78      ","00 33 10","+65 07 00","  ",1.5,1507,0.6,9.25,5.78,2.8,-1.68,0.45,10,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",44,"D14",
" ","NGC 189          ","00 39 35","+61 05 42","  ",5,752,0.42,7,-0.36,0.07,-3.02,0.01,80,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",45,"D14",
"P","Stock 24         ","00 39 42","+61 57 00","  ",5,2818,0.5,8.08,-0.61,0.22,0.52,0.09,124,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",46,"D14",
" ","FSR 0505         ","00 40 04","+61 35 52","IR",1.2,"     ","      ","      ",-2.03,0.43,-0.19,0.03,23,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",47,"D14",
" ","FSR 0508         ","00 41 58","+64 58 52","IR",2.5,5501,1.199,9.18,1.72,0.75,-0.47,0.75,8,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",48,"K12",
" ","Dias 1           ","00 42 35","+64 04 05","  ",4.6,1690,1.08,7.1,-2.55,0.01,-2,0.01,51,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",49,"D14",
"P","NGC 225          ","00 43 39","+61 46 30","  ",12,657,0.274,8.114,-1.23,0.36,-0.06,0.13,89,"K14",-28,0,1,"      ","      ","  ","        ","WEBDA","Lynga",50,"D14","K07"
"P","Czernik 2        ","00 43 42","+60 09 00","  ",5.8,1775,0.74,8,-0.64,0.21,-1.01,0.09,136,"K14","       ","     ","   ","      ","      ","  ","4-2-m-* ","WEBDA","Lynga",51,"D14",
" ","King 16          ","00 43 45","+64 11 08","  ",17.6,1920,0.89,7,-1.94,0.08,-1.21,0,494,"K14",-58.2,1.9,1,"      ","      ","  ","1-2-m-* ","WEBDA","Lynga",52,"D14","D14"
" ","Berkeley 4       ","00 45 01","+64 23 05","  ",6.2,2460,0.83,7.1,-3.21,0.09,-1.3,0.01,119,"K14","       ","     ","   ","      ","      ","  ","1-2-p-* ","WEBDA","Lynga",53,"D14",
"P","NGC 188          ","00 47 28","+85 15 18","  ",17,1714,0.036,9.88,-0.21,0.22,0.17,0.18,472,"K14",-42.35,0.05,472,0.12,0.02,4,"        ","WEBDA","Lynga",54,"G14","G14"
" ","Berkeley 61      ","00 48 30","+67 12 00","  ",3,3798,0.69,8.25,-7.26,0.75,0.35,0.71,41,"K14","       ","     ","   ","      ","      ","  ","2-1-p-* ","WEBDA","Lynga",55,"D14",
" ","Dolidze 13       ","00 49 42","+64 07 35","d ",16,2400,0.35,8.962,-2.86,0.12,-0.71,0.04,329,"K14","       ","     ","   ","      ","      ","  ","-1-m-*  ","WEBDA","Lynga",56,"D14",
" ","FSR 0516         ","00 50 46","+65 58 06","IR",0.7,810,2.04,8.83,-1.8,0.58,-0.45,0.58,2,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",57,"K12",
"P","King 2           ","00 51 00","+58 11 00","  ",5,5750,0.31,9.78,-2,0.58,-2.6,0.01,48,"K14",-144.25,5.92,7,-0.42,0.09,7,"        ","WEBDA","Lynga",58,"D14","WC09"
" ","FSR 0519         ","00 52 30","+64 39 05","IR",1.4,1450,0.7,9.22,-5.38,1.04,-2.55,0.5,27,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",59,"D14",
"P","IC 1590          ","00 52 49","+56 37 42","  ",4,2940,0.32,6.54,-2.43,0.01,-1.9,0.01,77,"K14",-25.16,3.6,3,"      ","      ","  ","        ","WEBDA","Lynga",60,"D14","D14"
" ","FSR 0521         ","00 53 00","+59 51 00","IR",6.3,2534,0.562,9.21,-3.2,0.2,-2.28,0.01,112,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",61,"D14",
" ","ASCC 4           ","00 53 10","+61 34 48","  ",48,750,0.3,8.34,-1.15,0.54,-0.63,0.54,4,"K14",-9.24,9.3,4,"      ","      ","  ","        ","WEBDA","Lynga",62,"K12","K12"
" ","Casado Alessi 1  ","00 53 27","+49 34 00","  ",48,302,0.09,8.2,6.74,1.73,-7.79,1.73,28,"K14",6,1.8,1,"      ","      ","  ","4-2-p-* ","WEBDA","Lynga",63,"AMD","K07"
" ","FSR 0522         ","00 53 50","+65 47 36","IR",0.7,1506,0.874,9.075,-0.7,0.52,1.18,0.52,12,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",64,"K12",
" ","ASCC 5           ","00 57 58","+55 50 24","  ",15.6,1500,0.25,7.03,-0.2,0.22,-1.83,0.11,290,"K14",-43,3.7,1,"      ","      ","  ","        ","WEBDA","Lynga",65,"D14","D14"
" ","Majaess 19       ","00 58 29","+56 29 53","IR",14,"     ","      ","      ",0.48,0.24,-2.29,0.15,254,"K14",-54,7.4,1,"      ","      ","  ","        ","WEBDA","Lynga",66,"D14","D14"
" ","Skiff J0058+68.4 ","00 58 29","+68 28 08","  ",21.8,1600,0.85,9.1,-1.56,0.13,-4.81,0.04,504,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",67,"D14",
" ","Majaess 20       ","00 58 37","+65 40 23","IR",2,"     ","      ","      ","       ","     ","       ","     ","     ","K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",68,"   ",
"P","Berkeley 62      ","01 01 00","+63 57 00","v ",10,2320,0.85,7.2,-2.07,0.12,-1.37,0.09,173,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",69,"D14",
" ","Czernik 3        ","01 03 06","+62 47 00","  ",2.4,1410,1.42,8,-1.55,0.68,0.36,0.68,4,"K14","       ","     ","   ","      ","      ","  ","3-2-p-* ","WEBDA","Lynga",70,"K12",
" ","NGC 358          ","01 05 11","+62 01 18","  ",3,"     ","      ","      ",-4.56,0.68,2.72,0.53,28,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",71,"D14",
"P","NGC 366          ","01 06 26","+62 13 48","  ",3.5,1785,1.256,7.41,-5.34,0.63,4.1,0.74,56,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",72,"D14",
" ","Pfleiderer 1     ","01 08 07","+65 38 50","  ",5,7200,0.94,9,-2.48,0.04,3.83,0.25,18,"K14","       ","     ","   ","      ","      ","  ","4-2-m-* ","WEBDA","Lynga",73,"D14",
"P","NGC 381          ","01 08 19","+61 35 00","  ",6,1148,0.4,8.505,-0.22,0.14,0.11,0.1,167,"K14",-29.76,1.32,2,0.07,"      ","  ","        ","WEBDA","Lynga",74,"D14","FM09"
" ","Stock 3          ","01 12 18","+62 20 00","  ",5,1363,0.708,7.85,-0.94,0.64,1.82,0.38,61,"K14",-6,10,1,"      ","      ","  ","4-1-p-* ","WEBDA","Lynga",75,"D14","D14"
" ","Platais 2        ","01 13 50","+32 01 42","  ",336,190,0.05,8.313,13.85,0.34,-11.29,0.34,7,"K14",4.45,0.95,14,"      ","      ","  ","        ","WEBDA","Lynga",76,"K12","D14"
"P","NGC 433          ","01 15 11","+60 07 36","  ",2,2323,0.86,7.5,-2.32,0.33,-1.6,0.33,6,"K14",-36.91,0.18,1,"      ","      ","  ","        ","WEBDA","Lynga",77,"K12","MMU"
"P","NGC 436          ","01 15 58","+58 48 42","  ",5,2400,0.4,8.26,-0.38,0.22,-0.9,0.09,155,"K14",-73.78,0.45,2,-0.55,0.33,"  ","        ","WEBDA","Lynga",78,"D14","MMU"
" ","FSR 0534         ","01 17 26","+61 18 00","IR",6,1800,0.6,8.7,-3.01,0.31,-0.11,0.08,71,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",79,"D14",
" ","FSR 0537         ","01 18 50","+60 21 01","IR",8.1,2075,0.666,9,-1.93,0.2,-1.37,0.06,236,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",80,"D14",
"P","NGC 457          ","01 19 35","+58 17 12","  ",20,2429,0.472,7.324,-2.08,0.02,-0.46,0,647,"K14",-29.79,0.33,2,"      ","      ","  ","        ","WEBDA","Lynga",81,"D14","MMU"
" ","FSR 0536         ","01 19 44","+63 04 07","IR",7.2,3001,1.199,8.397,2.73,0.21,6.48,0.07,24,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",82,"D14",
" ","FSR 0538         ","01 22 08","+63 41 35","IR",0.8,2146,1.062,8.86,-0.95,0.47,2.77,0.47,3,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",83,"K12",
" ","FSR 0542         ","01 25 53","+62 59 43","IR",8,1934,0.833,8.35,-1.38,0.26,-0.08,0.24,93,"K14","       ","     ","   ",0.07,0.06,1,"        ","WEBDA","Lynga",84,"D14",
" ","SAI 14           ","01 26 00","+62 37 33","  ",4,6460,0.55,9.1,-1.18,0.7,-0.5,0.26,32,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",85,"D14",
"P","NGC 559          ","01 29 32","+63 18 14","  ",9.1,2430,0.82,8.35,-4.58,0.17,1.41,0.08,309,"K14",-58.4,6.8,15,-0.25,0.14,15,"        ","WEBDA","Lynga",86,"D14","CC15"
" ","FSR 0547         ","01 29 52","+60 42 59","IR",2.7,2800,0.3,8.9,0.85,0.53,-0.39,0.53,2,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",87,"K12",
"P","NGC 581          ","01 33 23","+60 39 00","  ",5,2194,0.382,7.336,-1.6,2.4,0.66,2.14,1,"K14",-44.2,0.12,2,"      ","      ","  ","        ","WEBDA","Lynga",88,"BDW","MMU"
" ","Czernik 4        ","01 35 36","+61 28 35","  ",2.6,1630,1.06,8,0.13,0.88,-3.9,0.88,2,"K14",-11.4,0.25,1,"      ","      ","  ","4-2-p-* ","WEBDA","Lynga",89,"K12","K14"
"P","Trumpler 1       ","01 35 42","+61 17 00","  ",3,2469,0.68,7.3,-3.31,0.01,-1.02,0.01,87,"K14",-65,30,1,"      ","      ","  ","        ","WEBDA","Lynga",90,"D14","K12"
"P","NGC 609          ","01 36 23","+64 32 18","  ",3,3981,0.35,9.232,0.82,0.4,0.1,0.52,70,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",91,"D14",
" ","FSR 0546         ","01 37 12","+65 51 29","IR",3.9,2501,1.099,9,2.32,0.3,0.36,0.3,13,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",92,"K12",
" ","FSR 0549         ","01 39 39","+65 55 11","IR",1.2,6001,0.45,9.3,-3.17,0.18,0.23,0.62,15,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",93,"D14",
" ","FSR 0551         ","01 39 46","+64 53 41","IR",1.2,3500,1.499,6.68,1.79,1.24,-1.34,0.02,17,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",94,"D14",
" ","FSR 0553         ","01 41 02","+64 30 48","IR",3.4,7500,0.999,8.6,-1.5,0.25,0.34,0.33,55,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",95,"D14",
"P","NGC 637          ","01 43 04","+64 02 24","  ",3,2500,0.64,7,-1.28,0.13,0.38,0.14,77,"K14",-45.58,1.36,2,"      ","      ","  ","        ","WEBDA","Lynga",96,"D14","D14"
" ","NGC 657          ","01 43 21","+55 50 11","  ",6,1372,0.34,9.2,1.14,0.46,-3.95,0.29,59,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",97,"D14",
"P","NGC 654          ","01 44 00","+61 53 06","  ",5,2410,0.82,7,-1.34,0.51,-0.72,0.64,3,"K14",-34.2,0.18,1,"      ","      ","  ","        ","WEBDA","Lynga",98,"BDW","MMU"
"P","NGC 659          ","01 44 24","+60 40 24","  ",5,1938,0.652,7.548,-2.67,1.96,1.07,1.96,1,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",99,"BDW",
" ","Majaess 26       ","01 45 40","+64 16 08","IR",4,"     ","      ","      ",1.19,0.43,-0.14,0.25,54,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",100,"D14",
"P","Collinder 463    ","01 45 45","+71 48 36","  ",57,702,0.259,8.373,-0.91,0.26,-0.9,0.26,40,"K14",-7.2,0.28,1,"      ","      ","  ","        ","WEBDA","Lynga",101,"TYC","K14"
"P","NGC 663          ","01 46 09","+61 14 06","v ",14,2420,0.8,7.4,-1.49,0.85,-2.3,0.89,3,"K14",-33.09,0.34,1,"      ","      ","  ","        ","WEBDA","Lynga",102,"BDW","MMU"
" ","ASCC 6           ","01 47 13","+57 43 48","  ",36,1200,0.3,8.17,-0.52,0.39,-0.68,0.39,17,"K14",-20,7.4,2,"      ","      ","  ","        ","WEBDA","Lynga",103,"K12","D14"
" ","Berkeley 5       ","01 47 48","+62 56 00","  ",2,6200,1.3,8.9,0.11,0.58,-2.78,0.58,5,"K14","       ","     ","   ","      ","      ","  ","4-1-p-* ","WEBDA","Lynga",104,"K12",
" ","S1               ","01 50 51","+61 05 28","  ",4.6,2200,0.77,7.4,-3.15,0.22,-0.79,0.23,85,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",105,"D14",
" ","Berkeley 6       ","01 51 11","+61 03 40","  ",8.4,2520,0.9,7.5,-2.89,0.13,0.24,0.11,169,"K14","       ","     ","   ","      ","      ","  ","2-2-p-* ","WEBDA","Lynga",106,"D14",
" ","IC 166           ","01 52 30","+61 50 00","  ",7,4800,0.8,9,-1.26,0.11,-0.04,0.1,249,"K14",-36.7,4.04,4,-0.178,0.2,4,"        ","WEBDA","Lynga",107,"D14","K12"
" ","Stock 4          ","01 52 48","+57 04 00","d ",12,1200,0.1,8.7,0.55,0.17,-2.23,0.13,293,"K14","       ","     ","   ","      ","      ","  ","4-1-p-* ","WEBDA","Lynga",108,"D14",
" ","ESO 245 09       ","01 53 43","-45 57 12","p ",14,1380,0.312,9.055,8.45,1.6,0.57,1.52,27,"K14","       ","     ","   ","      ","      ","  ","4-2-p-* ","WEBDA","Lynga",109,"D14",
"P","Berkeley 7       ","01 54 12","+62 22 00","  ",4,2570,0.8,6.6,-2.76,0.12,0.97,0.14,66,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",110,"D14",
" ","Czernik 5        ","01 55 43","+61 21 21","  ",1.8,2750,1.2,8.45,-2.35,0.58,0.06,0.03,26,"K14","       ","     ","   ","      ","      ","  ","3-1-p-* ","WEBDA","Lynga",111,"D14",
"P","NGC 752          ","01 57 41","+37 47 06","  ",75,457,0.034,9.16,7.5,0.32,-11.5,0.32,50,"K14",5.54,0.14,54,0.01,0.04,18,"        ","WEBDA","Lynga",112,"TYC","M09"
"P","NGC 744          ","01 58 33","+55 28 24","  ",5,1207,0.384,8.248,-1.34,1.51,1.15,1.56,1,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",113,"BDW",
" ","NGC 743          ","01 58 37","+60 09 18","  ",8,1618,0.95,8.7,-1.04,0.08,-2.16,0.11,132,"K14",-6.5,4.5,2,"      ","      ","  ","4-1-p-* ","WEBDA","Lynga",114,"D14","K12"
" ","ASCC 7           ","01 58 55","+58 58 12","  ",30,2000,0.5,7.36,0.24,0.07,-0.98,0.05,1296,"K14",-49,10,1,"      ","      ","  ","        ","WEBDA","Lynga",115,"D14","D14"
" ","Berkeley 8       ","02 01 06","+75 29 00","  ",5,3150,0.75,9.5,0.99,0.5,-3.08,0.51,36,"K14","       ","     ","   ","      ","      ","  ","2-2-m-* ","WEBDA","Lynga",116,"D14",
" ","Czernik 6        ","02 02 00","+62 50 00","  ",8,2700,0.26,7,-1.15,0.27,0.15,0.1,158,"K14",-22,10,1,"      ","      ","  ","2-2-p-* ","WEBDA","Lynga",117,"D14","D14"
" ","Czernik 7        ","02 03 01","+62 14 48","  ",10,3300,0.7,8.34,-1.22,0.18,0.21,0.18,160,"K14","       ","     ","   ","      ","      ","  ","4-2-p-* ","WEBDA","Lynga",118,"D14",
" ","Stock 5          ","02 04 30","+64 26 00","d ",24,1100,0.4,7.73,-0.13,0.1,-1.53,0.06,741,"K14",-19.85,2.06,2,"      ","      ","  ","4-2-p-* ","WEBDA","Lynga",119,"D14","D14"
" ","SAI 16           ","02 05 30","+62 15 54","  ",5,7700,0.7,9.15,-1.87,0.17,-0.91,0.28,64,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",120,"D14",
" ","Riddle 4         ","02 07 23","+60 15 25","  ",4.4,2800,1.1,7.6,9.08,0.3,-6.01,0.1,29,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",121,"D14",
"P","Stock 2          ","02 14 43","+59 29 06","  ",60,303,0.38,8.23,17.29,0.31,-13.1,0.31,54,"K14",-41.14,3.7,2,-0.14,0.2,2,"        ","WEBDA","Lynga",122,"TYC","D14"
"P","NGC 869          ","02 19 00","+57 07 42","v ",18,2079,0.575,7.069,-0.92,0.37,-1.66,0.34,4,"K14",-42.84,2.11,9,-0.3,"      ","  ","        ","WEBDA","Lynga",123,"BDW","D14"
"P","Basel 10         ","02 19 28","+58 18 00","  ",2,1944,0.774,7.608,1.47,0.12,0.35,0.29,13,"K14",-32.1,0.77,1,"      ","      ","  ","        ","WEBDA","Lynga",124,"LOK","K14"
" ","Berkeley 63      ","02 19 36","+63 43 00","  ",16,5700,0.96,7.48,-0.06,0.17,2.83,0.12,325,"K14","       ","     ","   ","      ","      ","  ","3-1-p-* ","WEBDA","Lynga",125,"D14",
" ","FSR 0578         ","02 20 10","+61 06 31","IR",1.4,2668,1.457,8.985,2.22,0.6,-2.11,0.6,2,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",126,"K12",
" ","SAI 17           ","02 20 48","+59 11 06","  ",2,3800,0.98,8.9,0.03,0.49,-0.32,0.49,4,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",127,"K12",
